curie	label	envo_native	obsolete	legacy_pv	abp	env_sys	biome	terrestrial_biome	aquatic_biome	env_mat	nmdc_scoped_count	gold_scoped_count	ncbi_scoped_count
ENVO:00000241	tidal mudflat	True	False	False	False	True	False	False	False	False			40.0
ENVO:03000088	methane-laden permafrost	True	False	False	False	False	False	False	False	True			
ENVO:00002233	albeluvisol	True	False	False	True	False	False	False	False	True			
ENVO:01000000	humus	True	False	False	True	False	False	False	False	True			
ENVO:01000637	outer space	True	False	False	False	False	False	False	False	True			
FOODON:00001218	bee food product	False	False	False	False	False	False	False	False	True			
FOODON:03301444	vegetable juice food product	False	False	False	False	False	False	False	False	True			
FOODON:00001165	solanaceous food product	False	False	False	False	False	False	False	False	True			
FOODON:00001055	sea water fish food product	False	False	False	False	False	False	False	False	True			
ENVO:00003095	quinate enriched soil	True	False	False	True	False	False	False	False	True			
FOODON:00001255	nonfermented plant derived beverage product	False	False	False	False	False	False	False	False	True			
ENVO:01000273	lime mudstone	True	False	False	False	False	False	False	False	True			
ENVO:01000461	refined asphalt	True	False	False	False	False	False	False	False	True			
ENVO:01000416	ultrafine respirable suspended particulate matter	True	False	False	False	False	False	False	False	True			
ENVO:02000111	copper ore	True	False	False	False	False	False	False	False	True			
FOODON:00001065	blue cheese food product	False	False	False	False	False	False	False	False	True			
ENVO:02000044	siliceous ooze	True	False	False	False	False	False	False	False	True			
FOODON:03301103	orange juice	False	False	False	False	False	False	False	False	True			
ENVO:00002985	oil	True	False	False	False	False	False	False	False	True			
FOODON:00001281	custard dessert food product	False	False	False	False	False	False	False	False	True			
ENVO:02000117	natural wax	True	False	False	False	False	False	False	False	True			
ENVO:03000043	material transformation process	True	False	False	False	False	False	False	False	False			
ENVO:01000739	habitat	True	False	False	True	True	False	False	False	False			3.0
FOODON:00001187	sorghum food product	False	False	False	False	False	False	False	False	True			
ENVO:01001818	enrichment culturing unit	True	False	False	False	False	False	False	False	False			1.0
ENVO:01000940	fissure water	True	False	False	False	False	False	False	False	True			
ENVO:02000055	plant feed	True	False	False	False	False	False	False	False	True			
ENVO:00002274	stagnosol	True	False	False	True	False	False	False	False	True			
FOODON:00001196	pigeon pea (whole, dried)	False	False	False	False	False	False	False	False	True			
ENVO:01000155	organic material	True	False	False	False	False	False	False	False	True			
ENVO:03000075	shuga	True	False	False	False	False	False	False	False	True			
FOODON:00001134	bovine meat food product	False	False	False	False	False	False	False	False	True			
FOODON:00002146	plant product dressing	False	False	False	False	False	False	False	False	True			
FOODON:00001090	sour milk beverage	False	False	False	False	False	False	False	False	True			
FOODON:00001059	apple juice	False	False	False	False	False	False	False	False	True			
ENVO:00002063	oil seep	True	False	False	True	False	False	False	False	False			1.0
FOODON:00001151	citrus fruit food product	False	False	False	False	False	False	False	False	True			
FOODON:00001140	fruit juice food product	False	False	False	False	False	False	False	False	True			
FOODON:03310006	fermented bean product	False	False	False	False	False	False	False	False	True			
ENVO:00002264	waste material	True	False	False	False	False	False	False	False	True			
ENVO:01001186	acidic volcanic ash	True	False	False	False	False	False	False	False	True			
FOODON:00001035	new zealand cheddar cheese food product	False	False	False	False	False	False	False	False	True			
FOODON:00001080	tape kefan food product	False	False	False	False	False	False	False	False	True			
