serial_number	content	sample_count	content_list
908	coastal sea water [ENVO:00002367]	2	['coastal sea water [ENVO:00002367]']
909	coastal sea water [ENVO:00002371]	2	['coastal sea water [ENVO:00002371]']
910	coastal sea water [ENVO:00002386]	2	['coastal sea water [ENVO:00002386]']
911	coastal sea water [ENVO:00002390]	2	['coastal sea water [ENVO:00002390]']
912	coastal sea water [ENVO:00002397]	2	['coastal sea water [ENVO:00002397]']
913	coastal sea water [ENVO:00002399]	2	['coastal sea water [ENVO:00002399]']
914	coastal sea water [ENVO:00002402]	2	['coastal sea water [ENVO:00002402]']
915	coastal sea water [ENVO:00002404]	2	['coastal sea water [ENVO:00002404]']
916	coastal sea water [ENVO:00002423]	2	['coastal sea water [ENVO:00002423]']
917	coastal sea water [ENVO:00002432]	2	['coastal sea water [ENVO:00002432]']
918	coastal sea water [ENVO:00002439]	2	['coastal sea water [ENVO:00002439]']
919	coastal sea water [ENVO:00002443]	2	['coastal sea water [ENVO:00002443]']
920	coastal sea water [ENVO:00002446]	2	['coastal sea water [ENVO:00002446]']
921	coastal sea water [ENVO:00002458]	2	['coastal sea water [ENVO:00002458]']
922	coastal sea water [ENVO:00002464]	2	['coastal sea water [ENVO:00002464]']
923	coastal sea water [ENVO:00002465]	2	['coastal sea water [ENVO:00002465]']
924	coastal sea water [ENVO:00002472]	2	['coastal sea water [ENVO:00002472]']
925	coastal sea water [ENVO:00002477]	2	['coastal sea water [ENVO:00002477]']
926	coastal sea water [ENVO:00002479]	2	['coastal sea water [ENVO:00002479]']
927	coastal sea water [ENVO:00002484]	2	['coastal sea water [ENVO:00002484]']
928	coastal sea water [ENVO:00002498]	2	['coastal sea water [ENVO:00002498]']
929	coastal sea water [ENVO:00002499]	2	['coastal sea water [ENVO:00002499]']
930	coastal sea water [ENVO:00002513]	2	['coastal sea water [ENVO:00002513]']
931	coastal sea water [ENVO:00002515]	2	['coastal sea water [ENVO:00002515]']
932	coastal sea water [ENVO:00002519]	2	['coastal sea water [ENVO:00002519]']
933	coastal sea water [ENVO:00002521]	2	['coastal sea water [ENVO:00002521]']
934	coastal sea water [ENVO:00002536]	2	['coastal sea water [ENVO:00002536]']
935	coastal sea water [ENVO:00002582]	2	['coastal sea water [ENVO:00002582]']
936	coastal sea water [ENVO:00002593]	2	['coastal sea water [ENVO:00002593]']
937	coastal sea water [ENVO:00002595]	2	['coastal sea water [ENVO:00002595]']
938	sinking particles	2	['sinking particles']
939	borehole water	2	['borehole water']
940	sewage effluent	2	['sewage effluent']
941	ENVO:00002154	2	['ENVO:00002154']
942	ENVO:00002157	2	['ENVO:00002157']
943	river water [ENVO:01000599]|fresh water [ENVO:00002011]	2	['river water [ENVO:01000599]', 'fresh water [ENVO:00002011]']
944	coastal sea water [ENVO:00002156]	2	['coastal sea water [ENVO:00002156]']
945	coastal sea water [ENVO:00002163]	2	['coastal sea water [ENVO:00002163]']
946	coastal sea water [ENVO:00002172]	2	['coastal sea water [ENVO:00002172]']
947	coastal sea water [ENVO:00002184]	2	['coastal sea water [ENVO:00002184]']
948	coastal sea water [ENVO:00002189]	2	['coastal sea water [ENVO:00002189]']
949	coastal sea water [ENVO:00002209]	2	['coastal sea water [ENVO:00002209]']
950	coastal sea water [ENVO:00002216]	2	['coastal sea water [ENVO:00002216]']
951	coastal sea water [ENVO:00002225]	2	['coastal sea water [ENVO:00002225]']
952	coastal sea water [ENVO:00002269]	2	['coastal sea water [ENVO:00002269]']
953	coastal sea water [ENVO:00002271]	2	['coastal sea water [ENVO:00002271]']
954	coastal sea water [ENVO:00002281]	2	['coastal sea water [ENVO:00002281]']
955	coastal sea water [ENVO:00002302]	2	['coastal sea water [ENVO:00002302]']
956	coastal sea water [ENVO:00002311]	2	['coastal sea water [ENVO:00002311]']
957	coastal sea water [ENVO:00002320]	2	['coastal sea water [ENVO:00002320]']
958	coastal sea water [ENVO:00002323]	2	['coastal sea water [ENVO:00002323]']
959	coastal sea water [ENVO:00002324]	2	['coastal sea water [ENVO:00002324]']
960	coastal sea water [ENVO:00002332]	2	['coastal sea water [ENVO:00002332]']
961	coastal sea water [ENVO:00002334]	2	['coastal sea water [ENVO:00002334]']
962	coastal sea water [ENVO:00002362]	2	['coastal sea water [ENVO:00002362]']
963	coastal sea water [ENVO:00002380]	2	['coastal sea water [ENVO:00002380]']
964	coastal sea water [ENVO:00002384]	2	['coastal sea water [ENVO:00002384]']
965	coastal sea water [ENVO:00002389]	2	['coastal sea water [ENVO:00002389]']
966	coastal sea water [ENVO:00002392]	2	['coastal sea water [ENVO:00002392]']
967	coastal sea water [ENVO:00002405]	2	['coastal sea water [ENVO:00002405]']
968	coastal sea water [ENVO:00002408]	2	['coastal sea water [ENVO:00002408]']
969	coastal sea water [ENVO:00002410]	2	['coastal sea water [ENVO:00002410]']
970	coastal sea water [ENVO:00002424]	2	['coastal sea water [ENVO:00002424]']
971	coastal sea water [ENVO:00002448]	2	['coastal sea water [ENVO:00002448]']
972	coastal sea water [ENVO:00002457]	2	['coastal sea water [ENVO:00002457]']
973	coastal sea water [ENVO:00002474]	2	['coastal sea water [ENVO:00002474]']
974	coastal sea water [ENVO:00002509]	2	['coastal sea water [ENVO:00002509]']
975	coastal sea water [ENVO:00002537]	2	['coastal sea water [ENVO:00002537]']
976	coastal sea water [ENVO:00002551]	2	['coastal sea water [ENVO:00002551]']
977	coastal sea water [ENVO:00002573]	2	['coastal sea water [ENVO:00002573]']
978	coastal sea water [ENVO:00002578]	2	['coastal sea water [ENVO:00002578]']
979	coastal sea water [ENVO:00002584]	2	['coastal sea water [ENVO:00002584]']
980	coastal sea water [ENVO:00002589]	2	['coastal sea water [ENVO:00002589]']
981	coastal sea water [ENVO:00002602]	2	['coastal sea water [ENVO:00002602]']
982	sea ice [ENVO:00002200]	2	['sea ice [ENVO:00002200]']
983	Pyrite	2	['Pyrite']
984	ENVO:01000322	2	['ENVO:01000322']
985	mine stream	2	['mine stream']
986	coastal sea water [ENVO:00002493]	2	['coastal sea water [ENVO:00002493]']
987	coastal sea water [ENVO:00002501]	2	['coastal sea water [ENVO:00002501]']
988	coastal sea water [ENVO:00002506]	2	['coastal sea water [ENVO:00002506]']
989	coastal sea water [ENVO:00002510]	2	['coastal sea water [ENVO:00002510]']
990	coastal sea water [ENVO:00002523]	2	['coastal sea water [ENVO:00002523]']
991	coastal sea water [ENVO:00002524]	2	['coastal sea water [ENVO:00002524]']
992	coastal sea water [ENVO:00002532]	2	['coastal sea water [ENVO:00002532]']
993	coastal sea water [ENVO:00002534]	2	['coastal sea water [ENVO:00002534]']
994	coastal sea water [ENVO:00002535]	2	['coastal sea water [ENVO:00002535]']
995	coastal sea water [ENVO:00002548]	2	['coastal sea water [ENVO:00002548]']
996	coastal sea water [ENVO:00002552]	2	['coastal sea water [ENVO:00002552]']
997	coastal sea water [ENVO:00002557]	2	['coastal sea water [ENVO:00002557]']
998	coastal sea water [ENVO:00002561]	2	['coastal sea water [ENVO:00002561]']
999	coastal sea water [ENVO:00002569]	2	['coastal sea water [ENVO:00002569]']
1000	coastal sea water [ENVO:00002579]	2	['coastal sea water [ENVO:00002579]']
1001	coastal sea water [ENVO:00002580]	2	['coastal sea water [ENVO:00002580]']
1002	coastal sea water [ENVO:00002585]	2	['coastal sea water [ENVO:00002585]']
1003	coastal sea water [ENVO:00002594]	2	['coastal sea water [ENVO:00002594]']
1004	water and waterlilies	2	['water and waterlilies']
1005	coastal sea water [ENVO:00002566]	2	['coastal sea water [ENVO:00002566]']
1006	coastal sea water [ENVO:00002576]	2	['coastal sea water [ENVO:00002576]']
1007	coastal sea water [ENVO:00002583]	2	['coastal sea water [ENVO:00002583]']
1008	coastal sea water [ENVO:00002591]	2	['coastal sea water [ENVO:00002591]']
1009	coastal sea water [ENVO:00002592]	2	['coastal sea water [ENVO:00002592]']
1010	coastal sea water [ENVO:00002597]	2	['coastal sea water [ENVO:00002597]']
1011	coastal sea water [ENVO:00002601]	2	['coastal sea water [ENVO:00002601]']
1012	coastal sea water [ENVO:00002603]	2	['coastal sea water [ENVO:00002603]']
1013	coastal sea water [ENVO:00002605]	2	['coastal sea water [ENVO:00002605]']
1014	San Diego Bay	2	['San Diego Bay']
1015	waste water	2	['waste water']
1016	Filtered water	2	['Filtered water']
1017	coastal sea water [ENVO:00002596]	2	['coastal sea water [ENVO:00002596]']
1018	coastal sea water [ENVO:00002600]	2	['coastal sea water [ENVO:00002600]']
1019	crude oil	2	['crude oil']
1020	1 liter Filtered Surface Water	2	['1 liter Filtered Surface Water']
1021	Sewage [ENVO_00002018]	2	['Sewage [ENVO_00002018]']
1022	bacterial cell	2	['bacterial cell']
1023	environmental DNA extracted from a hot spring	2	['environmental DNA extracted from a hot spring']
1024	hyperthermophilic sediment [ENVO:01000133]	2	['hyperthermophilic sediment [ENVO:01000133]']
1025	marine sediment[ENVO:03000033]	2	['marine sediment[ENVO:03000033]']
1026	16S rDNA	2	['16S rDNA']
1027	feces	1	['feces']
1028	Sea Water [ENVO_00002149]	1	['Sea Water [ENVO_00002149]']
1029	water retting	1	['water retting']
1030	pore water [ENVO:2017081502]	1	['pore water [ENVO:2017081502]']
1031	pore water [ENVO:2018051502]	1	['pore water [ENVO:2018051502]']
1032	pore water [ENVO:2018051512]	1	['pore water [ENVO:2018051512]']
1033	pore water [ENVO:2017111505]	1	['pore water [ENVO:2017111505]']
1034	pore water [ENVO:2017111509]	1	['pore water [ENVO:2017111509]']
1035	ENVO:00000245	1	['ENVO:00000245']
1036	ENVO:00002038	1	['ENVO:00002038']
1037	Lake|creek|river	1	['Lake', 'creek', 'river']
1038	[ENVO:01001833]	1	['[ENVO:01001833]']
1039	marine bioreactor	1	['marine bioreactor']
1040	pore water [ENVO:2017081501]	1	['pore water [ENVO:2017081501]']
1041	pore water [ENVO:2017081510]	1	['pore water [ENVO:2017081510]']
1042	pore water [ENVO:2018051503]	1	['pore water [ENVO:2018051503]']
1043	pore water [ENVO:2017111512]	1	['pore water [ENVO:2017111512]']
1044	liquid water [ENVO_00002006]	1	['liquid water [ENVO_00002006]']
1045	ENVO:00002030	1	['ENVO:00002030']
1046	ENVO:00002034	1	['ENVO:00002034']
1047	ENVO:00002044	1	['ENVO:00002044']
1048	ENVO:00002048	1	['ENVO:00002048']
1049	Hot Spring Water	1	['Hot Spring Water']
1050	Granular activated carbon	1	['Granular activated carbon']
1051	Surface layer of AR3	1	['Surface layer of AR3']
1052	Water (EMMR-SKR-NGS1)	1	['Water (EMMR-SKR-NGS1)']
1053	ENVO:00002161	1	['ENVO:00002161']
1054	rhizosphere_3	1	['rhizosphere_3']
1055	rhizosphere_5	1	['rhizosphere_5']
1056	rhizosphere_6	1	['rhizosphere_6']
1057	reclaimed water	1	['reclaimed water']
1058	coastal sea water [ENVO:00002608]	1	['coastal sea water [ENVO:00002608]']
1059	coastal sea water [ENVO:00002612]	1	['coastal sea water [ENVO:00002612]']
1060	coastal sea water [ENVO:00002613]	1	['coastal sea water [ENVO:00002613]']
1061	coastal sea water [ENVO:00002617]	1	['coastal sea water [ENVO:00002617]']
1062	coastal sea water [ENVO:00002619]	1	['coastal sea water [ENVO:00002619]']
1063	coastal sea water [ENVO:00002625]	1	['coastal sea water [ENVO:00002625]']
1064	coastal sea water [ENVO:00002630]	1	['coastal sea water [ENVO:00002630]']
1065	coastal sea water [ENVO:00002654]	1	['coastal sea water [ENVO:00002654]']
1066	coastal sea water [ENVO:00002662]	1	['coastal sea water [ENVO:00002662]']
1067	coastal sea water [ENVO:00002667]	1	['coastal sea water [ENVO:00002667]']
1068	coastal sea water [ENVO:00002676]	1	['coastal sea water [ENVO:00002676]']
1069	coastal sea water [ENVO:00002681]	1	['coastal sea water [ENVO:00002681]']
1070	coastal sea water [ENVO:00002720]	1	['coastal sea water [ENVO:00002720]']
1071	coastal sea water [ENVO:00002723]	1	['coastal sea water [ENVO:00002723]']
1072	coastal sea water [ENVO:00002731]	1	['coastal sea water [ENVO:00002731]']
1073	coastal sea water [ENVO:00002736]	1	['coastal sea water [ENVO:00002736]']
1074	coastal sea water [ENVO:00002742]	1	['coastal sea water [ENVO:00002742]']
1075	coastal sea water [ENVO:00002746]	1	['coastal sea water [ENVO:00002746]']
1076	coastal sea water [ENVO:00002749]	1	['coastal sea water [ENVO:00002749]']
1077	coastal sea water [ENVO:00002772]	1	['coastal sea water [ENVO:00002772]']
1078	coastal sea water [ENVO:00002794]	1	['coastal sea water [ENVO:00002794]']
1079	coastal sea water [ENVO:00002811]	1	['coastal sea water [ENVO:00002811]']
1080	ENVO_00000892	1	['ENVO_00000892']
1081	pond_5	1	['pond_5']
1082	pond_12	1	['pond_12']
1083	pond_13	1	['pond_13']
1084	water6	1	['water6']
1085	water8	1	['water8']
1086	chimney	1	['chimney']
1087	"=IF(H64=""Tissue"",""coral reef [ENVO:00000150]"",""sea water [ENVO: 00002149]"")"	1	"['=IF(H64=""Tissue"",""coral reef [ENVO:00000150]"",""sea water [ENVO: 00002149]"")']"
1088	"=IF(H75=""Tissue"",""coral reef [ENVO:00000150]"",""sea water [ENVO: 00002149]"")"	1	"['=IF(H75=""Tissue"",""coral reef [ENVO:00000150]"",""sea water [ENVO: 00002149]"")']"
1089	"=IF(H92=""Tissue"",""coral reef [ENVO:00000150]"",""sea water [ENVO: 00002149]"")"	1	"['=IF(H92=""Tissue"",""coral reef [ENVO:00000150]"",""sea water [ENVO: 00002149]"")']"
1090	"=IF(H95=""Tissue"",""coral reef [ENVO:00000150]"",""sea water [ENVO: 00002149]"")"	1	"['=IF(H95=""Tissue"",""coral reef [ENVO:00000150]"",""sea water [ENVO: 00002149]"")']"
1091	"=IF(H98=""Tissue"",""coral reef [ENVO:00000150]"",""sea water [ENVO: 00002149]"")"	1	"['=IF(H98=""Tissue"",""coral reef [ENVO:00000150]"",""sea water [ENVO: 00002149]"")']"
1092	"=IF(H104=""Tissue"",""coral reef [ENVO:00000150]"",""sea water [ENVO: 00002149]"")"	1	"['=IF(H104=""Tissue"",""coral reef [ENVO:00000150]"",""sea water [ENVO: 00002149]"")']"
1093	"=IF(H108=""Tissue"",""coral reef [ENVO:00000150]"",""sea water [ENVO: 00002149]"")"	1	"['=IF(H108=""Tissue"",""coral reef [ENVO:00000150]"",""sea water [ENVO: 00002149]"")']"
1094	"=IF(H113=""Tissue"",""coral reef [ENVO:00000150]"",""sea water [ENVO: 00002149]"")"	1	"['=IF(H113=""Tissue"",""coral reef [ENVO:00000150]"",""sea water [ENVO: 00002149]"")']"
1095	"=IF(H119=""Tissue"",""coral reef [ENVO:00000150]"",""sea water [ENVO: 00002149]"")"	1	"['=IF(H119=""Tissue"",""coral reef [ENVO:00000150]"",""sea water [ENVO: 00002149]"")']"
1096	"=IF(H139=""Tissue"",""coral reef [ENVO:00000150]"",""sea water [ENVO: 00002149]"")"	1	"['=IF(H139=""Tissue"",""coral reef [ENVO:00000150]"",""sea water [ENVO: 00002149]"")']"
1097	"=IF(H144=""Tissue"",""coral reef [ENVO:00000150]"",""sea water [ENVO: 00002149]"")"	1	"['=IF(H144=""Tissue"",""coral reef [ENVO:00000150]"",""sea water [ENVO: 00002149]"")']"
1098	"=IF(H156=""Tissue"",""coral reef [ENVO:00000150]"",""sea water [ENVO: 00002149]"")"	1	"['=IF(H156=""Tissue"",""coral reef [ENVO:00000150]"",""sea water [ENVO: 00002149]"")']"
1099	"=IF(H158=""Tissue"",""coral reef [ENVO:00000150]"",""sea water [ENVO: 00002149]"")"	1	"['=IF(H158=""Tissue"",""coral reef [ENVO:00000150]"",""sea water [ENVO: 00002149]"")']"
1100	"=IF(H165=""Tissue"",""coral reef [ENVO:00000150]"",""sea water [ENVO: 00002149]"")"	1	"['=IF(H165=""Tissue"",""coral reef [ENVO:00000150]"",""sea water [ENVO: 00002149]"")']"
1101	"=IF(H167=""Tissue"",""coral reef [ENVO:00000150]"",""sea water [ENVO: 00002149]"")"	1	"['=IF(H167=""Tissue"",""coral reef [ENVO:00000150]"",""sea water [ENVO: 00002149]"")']"
1102	"=IF(H168=""Tissue"",""coral reef [ENVO:00000150]"",""sea water [ENVO: 00002149]"")"	1	"['=IF(H168=""Tissue"",""coral reef [ENVO:00000150]"",""sea water [ENVO: 00002149]"")']"
1103	"=IF(H171=""Tissue"",""coral reef [ENVO:00000150]"",""sea water [ENVO: 00002149]"")"	1	"['=IF(H171=""Tissue"",""coral reef [ENVO:00000150]"",""sea water [ENVO: 00002149]"")']"
1104	"=IF(H187=""Tissue"",""coral reef [ENVO:00000150]"",""sea water [ENVO: 00002149]"")"	1	"['=IF(H187=""Tissue"",""coral reef [ENVO:00000150]"",""sea water [ENVO: 00002149]"")']"
1105	"=IF(H193=""Tissue"",""coral reef [ENVO:00000150]"",""sea water [ENVO: 00002149]"")"	1	"['=IF(H193=""Tissue"",""coral reef [ENVO:00000150]"",""sea water [ENVO: 00002149]"")']"
1106	"=IF(H205=""Tissue"",""coral reef [ENVO:00000150]"",""sea water [ENVO: 00002149]"")"	1	"['=IF(H205=""Tissue"",""coral reef [ENVO:00000150]"",""sea water [ENVO: 00002149]"")']"
1107	"=IF(H214=""Tissue"",""coral reef [ENVO:00000150]"",""sea water [ENVO: 00002149]"")"	1	"['=IF(H214=""Tissue"",""coral reef [ENVO:00000150]"",""sea water [ENVO: 00002149]"")']"
1108	"=IF(H219=""Tissue"",""coral reef [ENVO:00000150]"",""sea water [ENVO: 00002149]"")"	1	"['=IF(H219=""Tissue"",""coral reef [ENVO:00000150]"",""sea water [ENVO: 00002149]"")']"
1109	"=IF(H224=""Tissue"",""coral reef [ENVO:00000150]"",""sea water [ENVO: 00002149]"")"	1	"['=IF(H224=""Tissue"",""coral reef [ENVO:00000150]"",""sea water [ENVO: 00002149]"")']"
1110	"=IF(H228=""Tissue"",""coral reef [ENVO:00000150]"",""sea water [ENVO: 00002149]"")"	1	"['=IF(H228=""Tissue"",""coral reef [ENVO:00000150]"",""sea water [ENVO: 00002149]"")']"
1111	"=IF(H235=""Tissue"",""coral reef [ENVO:00000150]"",""sea water [ENVO: 00002149]"")"	1	"['=IF(H235=""Tissue"",""coral reef [ENVO:00000150]"",""sea water [ENVO: 00002149]"")']"
1112	"=IF(H237=""Tissue"",""coral reef [ENVO:00000150]"",""sea water [ENVO: 00002149]"")"	1	"['=IF(H237=""Tissue"",""coral reef [ENVO:00000150]"",""sea water [ENVO: 00002149]"")']"
1113	"=IF(H243=""Tissue"",""coral reef [ENVO:00000150]"",""sea water [ENVO: 00002149]"")"	1	"['=IF(H243=""Tissue"",""coral reef [ENVO:00000150]"",""sea water [ENVO: 00002149]"")']"
1114	"=IF(H244=""Tissue"",""coral reef [ENVO:00000150]"",""sea water [ENVO: 00002149]"")"	1	"['=IF(H244=""Tissue"",""coral reef [ENVO:00000150]"",""sea water [ENVO: 00002149]"")']"
1115	Mwei.C	1	['Mwei.C']
1116	DCS.A	1	['DCS.A']
1117	NZD.C	1	['NZD.C']
1118	GLB.2	1	['GLB.2']
1119	B.GGQ.C	1	['B.GGQ.C']
1120	B.NZD.A	1	['B.NZD.A']
1121	B.JH.C	1	['B.JH.C']
1122	B.GLB.2	1	['B.GLB.2']
1123	shrimp pond water 4	1	['shrimp pond water 4']
1124	HB1 water	1	['HB1 water']
1125	Melting glacier water	1	['Melting glacier water']
1126	sediment_2	1	['sediment_2']
1127	ENVR1WA2_01_01_01	1	['ENVR1WA2_01_01_01']
1128	ENVR1WA3_01_01_01	1	['ENVR1WA3_01_01_01']
1129	ENVR2WA2_01_01_01	1	['ENVR2WA2_01_01_01']
1130	ENVR2WB3_01_01_01	1	['ENVR2WB3_01_01_01']
1131	ENVR3WA3_01_01_01	1	['ENVR3WA3_01_01_01']
1132	ENVR5WA3_01_01_01	1	['ENVR5WA3_01_01_01']
1133	ENVR7WA2_01_01_01	1	['ENVR7WA2_01_01_01']
1134	marine water-1	1	['marine water-1']
1135	marine water-14	1	['marine water-14']
1136	marine water-15	1	['marine water-15']
1137	marine water-23	1	['marine water-23']
1138	marine water-30	1	['marine water-30']
1139	laboratory-1	1	['laboratory-1']
1140	Microbial mat	1	['Microbial mat']
1141	ENVO:00000569	1	['ENVO:00000569']
1142	sediment(AS01 subsample-2)	1	['sediment(AS01 subsample-2)']
1143	estuarine water [ENVO:01000307]	1	['estuarine water [ENVO:01000307]']
1144	enrichment culture	1	['enrichment culture']
1145	marine surface water	1	['marine surface water']
1146	brine water	1	['brine water']
1147	Hot spring water	1	['Hot spring water']
1148	pore water [ENVO:2017081505]	1	['pore water [ENVO:2017081505]']
1149	pore water [ENVO:2017081511]	1	['pore water [ENVO:2017081511]']
1150	pore water [ENVO:2018051505]	1	['pore water [ENVO:2018051505]']
1151	pore water [ENVO:2018051507]	1	['pore water [ENVO:2018051507]']
1152	pore water [ENVO:2018051508]	1	['pore water [ENVO:2018051508]']
1153	pore water [ENVO:2018051510]	1	['pore water [ENVO:2018051510]']
1154	pore water [ENVO:2017111508]	1	['pore water [ENVO:2017111508]']
1155	ENVO:00002052	1	['ENVO:00002052']
1156	Brackish water	1	['Brackish water']
1157	sulfide chimney	1	['sulfide chimney']
1158	Surface sea water [ENVO:01001581]	1	['Surface sea water [ENVO:01001581]']
1159	Algal material [ENVO:01001189]	1	['Algal material [ENVO:01001189]']
1160	rhizosphere_1	1	['rhizosphere_1']
1161	[ENVO:03000036]	1	['[ENVO:03000036]']
1162	Purified water	1	['Purified water']
1163	coastal sea water [ENVO:00002607]	1	['coastal sea water [ENVO:00002607]']
1164	coastal sea water [ENVO:00002627]	1	['coastal sea water [ENVO:00002627]']
1165	coastal sea water [ENVO:00002632]	1	['coastal sea water [ENVO:00002632]']
1166	coastal sea water [ENVO:00002638]	1	['coastal sea water [ENVO:00002638]']
1167	coastal sea water [ENVO:00002643]	1	['coastal sea water [ENVO:00002643]']
1168	coastal sea water [ENVO:00002656]	1	['coastal sea water [ENVO:00002656]']
1169	coastal sea water [ENVO:00002657]	1	['coastal sea water [ENVO:00002657]']
1170	coastal sea water [ENVO:00002664]	1	['coastal sea water [ENVO:00002664]']
1171	coastal sea water [ENVO:00002674]	1	['coastal sea water [ENVO:00002674]']
1172	coastal sea water [ENVO:00002678]	1	['coastal sea water [ENVO:00002678]']
1173	coastal sea water [ENVO:00002679]	1	['coastal sea water [ENVO:00002679]']
1174	coastal sea water [ENVO:00002683]	1	['coastal sea water [ENVO:00002683]']
1175	coastal sea water [ENVO:00002687]	1	['coastal sea water [ENVO:00002687]']
1176	coastal sea water [ENVO:00002691]	1	['coastal sea water [ENVO:00002691]']
1177	coastal sea water [ENVO:00002696]	1	['coastal sea water [ENVO:00002696]']
1178	coastal sea water [ENVO:00002697]	1	['coastal sea water [ENVO:00002697]']
1179	coastal sea water [ENVO:00002701]	1	['coastal sea water [ENVO:00002701]']
1180	coastal sea water [ENVO:00002705]	1	['coastal sea water [ENVO:00002705]']
1181	coastal sea water [ENVO:00002709]	1	['coastal sea water [ENVO:00002709]']
1182	coastal sea water [ENVO:00002722]	1	['coastal sea water [ENVO:00002722]']
1183	coastal sea water [ENVO:00002726]	1	['coastal sea water [ENVO:00002726]']
1184	coastal sea water [ENVO:00002733]	1	['coastal sea water [ENVO:00002733]']
1185	coastal sea water [ENVO:00002756]	1	['coastal sea water [ENVO:00002756]']
1186	coastal sea water [ENVO:00002761]	1	['coastal sea water [ENVO:00002761]']
1187	coastal sea water [ENVO:00002779]	1	['coastal sea water [ENVO:00002779]']
1188	coastal sea water [ENVO:00002783]	1	['coastal sea water [ENVO:00002783]']
1189	coastal sea water [ENVO:00002792]	1	['coastal sea water [ENVO:00002792]']
1190	coastal sea water [ENVO:00002793]	1	['coastal sea water [ENVO:00002793]']
1191	coastal sea water [ENVO:00002803]	1	['coastal sea water [ENVO:00002803]']
1192	coastal sea water [ENVO:00002808]	1	['coastal sea water [ENVO:00002808]']
1193	Ganga River Water	1	['Ganga River Water']
1194	"=IF(H71=""Tissue"",""coral reef [ENVO:00000150]"",""sea water [ENVO: 00002149]"")"	1	"['=IF(H71=""Tissue"",""coral reef [ENVO:00000150]"",""sea water [ENVO: 00002149]"")']"
1195	"=IF(H79=""Tissue"",""coral reef [ENVO:00000150]"",""sea water [ENVO: 00002149]"")"	1	"['=IF(H79=""Tissue"",""coral reef [ENVO:00000150]"",""sea water [ENVO: 00002149]"")']"
1196	"=IF(H86=""Tissue"",""coral reef [ENVO:00000150]"",""sea water [ENVO: 00002149]"")"	1	"['=IF(H86=""Tissue"",""coral reef [ENVO:00000150]"",""sea water [ENVO: 00002149]"")']"
1197	"=IF(H106=""Tissue"",""coral reef [ENVO:00000150]"",""sea water [ENVO: 00002149]"")"	1	"['=IF(H106=""Tissue"",""coral reef [ENVO:00000150]"",""sea water [ENVO: 00002149]"")']"
1198	"=IF(H109=""Tissue"",""coral reef [ENVO:00000150]"",""sea water [ENVO: 00002149]"")"	1	"['=IF(H109=""Tissue"",""coral reef [ENVO:00000150]"",""sea water [ENVO: 00002149]"")']"
1199	"=IF(H111=""Tissue"",""coral reef [ENVO:00000150]"",""sea water [ENVO: 00002149]"")"	1	"['=IF(H111=""Tissue"",""coral reef [ENVO:00000150]"",""sea water [ENVO: 00002149]"")']"
1200	"=IF(H127=""Tissue"",""coral reef [ENVO:00000150]"",""sea water [ENVO: 00002149]"")"	1	"['=IF(H127=""Tissue"",""coral reef [ENVO:00000150]"",""sea water [ENVO: 00002149]"")']"
1201	"=IF(H138=""Tissue"",""coral reef [ENVO:00000150]"",""sea water [ENVO: 00002149]"")"	1	"['=IF(H138=""Tissue"",""coral reef [ENVO:00000150]"",""sea water [ENVO: 00002149]"")']"
1202	"=IF(H146=""Tissue"",""coral reef [ENVO:00000150]"",""sea water [ENVO: 00002149]"")"	1	"['=IF(H146=""Tissue"",""coral reef [ENVO:00000150]"",""sea water [ENVO: 00002149]"")']"
1203	"=IF(H157=""Tissue"",""coral reef [ENVO:00000150]"",""sea water [ENVO: 00002149]"")"	1	"['=IF(H157=""Tissue"",""coral reef [ENVO:00000150]"",""sea water [ENVO: 00002149]"")']"
1204	"=IF(H174=""Tissue"",""coral reef [ENVO:00000150]"",""sea water [ENVO: 00002149]"")"	1	"['=IF(H174=""Tissue"",""coral reef [ENVO:00000150]"",""sea water [ENVO: 00002149]"")']"
1205	"=IF(H177=""Tissue"",""coral reef [ENVO:00000150]"",""sea water [ENVO: 00002149]"")"	1	"['=IF(H177=""Tissue"",""coral reef [ENVO:00000150]"",""sea water [ENVO: 00002149]"")']"
1206	"=IF(H182=""Tissue"",""coral reef [ENVO:00000150]"",""sea water [ENVO: 00002149]"")"	1	"['=IF(H182=""Tissue"",""coral reef [ENVO:00000150]"",""sea water [ENVO: 00002149]"")']"
1207	"=IF(H189=""Tissue"",""coral reef [ENVO:00000150]"",""sea water [ENVO: 00002149]"")"	1	"['=IF(H189=""Tissue"",""coral reef [ENVO:00000150]"",""sea water [ENVO: 00002149]"")']"
1208	"=IF(H190=""Tissue"",""coral reef [ENVO:00000150]"",""sea water [ENVO: 00002149]"")"	1	"['=IF(H190=""Tissue"",""coral reef [ENVO:00000150]"",""sea water [ENVO: 00002149]"")']"
1209	"=IF(H195=""Tissue"",""coral reef [ENVO:00000150]"",""sea water [ENVO: 00002149]"")"	1	"['=IF(H195=""Tissue"",""coral reef [ENVO:00000150]"",""sea water [ENVO: 00002149]"")']"
1210	"=IF(H200=""Tissue"",""coral reef [ENVO:00000150]"",""sea water [ENVO: 00002149]"")"	1	"['=IF(H200=""Tissue"",""coral reef [ENVO:00000150]"",""sea water [ENVO: 00002149]"")']"
