ENVO:01000043	neritic mesopelagic zone biome	neritic mesopelagic zone biome
ENVO:01000032	neritic pelagic zone biome	neritic pelagic zone biome
ENVO:01000041	neritic sea surface microlayer biome	neritic sea surface microlayer biome
ENVO:01000247	rangeland biome	rangeland biome
ENVO:01000178	savanna biome	savanna biome
ENVO:01000176	shrubland biome	shrubland biome
ENVO:00000892	small freshwater lake biome	small freshwater lake biome
ENVO:00000890	small river biome	small river biome
ENVO:01000250	subpolar coniferous forest biome	subpolar coniferous forest biome
ENVO:01000201	subtropical broadleaf forest biome	subtropical broadleaf forest biome
ENVO:01000209	subtropical coniferous forest biome	subtropical coniferous forest biome
ENVO:01000225	subtropical dry broadleaf forest biome	subtropical dry broadleaf forest biome
ENVO:01000191	subtropical grassland biome	subtropical grassland biome
ENVO:01000226	subtropical moist broadleaf forest biome	subtropical moist broadleaf forest biome
ENVO:01000187	subtropical savanna biome	subtropical savanna biome
ENVO:01000213	subtropical shrubland biome	subtropical shrubland biome
ENVO:01000222	subtropical woodland biome	subtropical woodland biome
ENVO:01000202	temperate broadleaf forest biome	temperate broadleaf forest biome
ENVO:01000211	temperate coniferous forest biome	temperate coniferous forest biome
ENVO:01000193	temperate grassland biome	temperate grassland biome
ENVO:01000212	temperate mixed forest biome	temperate mixed forest biome
ENVO:01000189	temperate savanna biome	temperate savanna biome
ENVO:01000215	temperate shrubland biome	temperate shrubland biome
ENVO:01000221	temperate woodland biome	temperate woodland biome
ENVO:00000446	terrestrial biome	terrestrial biome
ENVO:01001369	tidal mangrove shrubland	tidal mangrove shrubland
ENVO:01000200	tropical broadleaf forest biome	tropical broadleaf forest biome
ENVO:01000210	tropical coniferous forest biome	tropical coniferous forest biome
ENVO:01000227	tropical dry broadleaf forest biome	tropical dry broadleaf forest biome
ENVO:01000192	tropical grassland biome	tropical grassland biome
ENVO:01001798	tropical mixed forest biome	tropical mixed forest biome
ENVO:01000228	tropical moist broadleaf forest biome	tropical moist broadleaf forest biome
ENVO:01000188	tropical savanna biome	tropical savanna biome
ENVO:01000214	tropical shrubland biome	tropical shrubland biome
ENVO:01000220	tropical woodland biome	tropical woodland biome
ENVO:01000180	tundra biome	tundra biome
ENVO:01000175	woodland biome	woodland biome
ENVO:00000893	xeric basin biome	xeric basin biome
ENVO:01000218	xeric shrubland biome	xeric shrubland biome
PO:0004518	bark	bark
PO:0025356	bulb	bulb
PO:0025355	corm	corm
PO:0025623	ear infructescence axis	ear infructescence axis
PO:0020103	flag leaf	flag leaf
PO:0009046	flower	flower
PO:0009001	fruit	fruit
PO:0025034	leaf	leaf
PO:0020038	petiole	petiole
PO:0006001	phyllome	phyllome
PO:0006109	pith	pith
PO:0005052	plant callus	plant callus
PO:0025626	plant gall	plant gall
ENVO:01000628	plant litter	plant litter
PO:0025281	pollen	pollen
PO:0020031	radicle	radicle
PO:0030078	rhizoid	rhizoid
PO:0004542	rhizome	rhizome
