curie	label	envo_native	obsolete	no_comparison_enum	ancestors_in_enum_count	descendants_in_enum_count	abp	env_sys	biome	terrestrial_biome	aquatic_biome	env_mat	soil	liquid water	water ice	human_construction	building	building_part	goldterms_mappings	nmdc_scoped_count	gold_hybrid_count	ncbi_scoped_count
ENVO:00000344	grain of desert sand	True	False	False	0	0	True	False	False	False	False	False	False	False	False	False	False	False	False			2.0
ENVO:01000133	hyperthermophilic sediment	True	False	False	0	0	False	False	False	False	False	True	False	False	False	False	False	False	False			2.0
ENVO:00002264	waste material	True	False	False	0	0	False	False	False	False	False	True	False	False	False	False	False	False	False			1370.0
FOODON:00001121	equine milk beverage	False	False	False	0	0	False	False	False	False	False	True	False	False	False	False	False	False	False			
ENVO:03501253	gypsum	True	False	False	0	0	False	False	False	False	False	True	False	False	False	False	False	False	False			
ENVO:03600074	aquaculture farm	True	False	False	0	0	False	True	False	False	False	False	False	False	False	False	False	False	False			609.0
ENVO:02000101	fibrous dust	True	False	False	0	0	False	False	False	False	False	True	False	False	False	False	False	False	False			
ENVO:00002372		False	False	False	0	0	False	False	False	False	False	False	False	False	False	False	False	False	False			
ENVO:2018051512		False	False	False	0	0	False	False	False	False	False	False	False	False	False	False	False	False	False			
ENVO:01000317	aquatic environment	True	False	False	0	0	False	True	False	False	False	False	False	False	False	False	False	False	False			105.0
ENVO:00002642		False	False	False	0	0	False	False	False	False	False	False	False	False	False	False	False	False	False			
ENVO:00000101	delta	True	False	False	0	0	True	False	False	False	False	False	False	False	False	False	False	False	False			1.0
ENVO:01000406	snow	True	False	False	0	0	False	False	False	False	False	True	False	False	False	False	False	False	True		1.0	256.0
ENVO:03600022	vinasse	True	False	False	0	0	False	False	False	False	False	False	False	False	False	False	False	False	False			3.0
ENVO:00010486		False	False	False	0	0	False	False	False	False	False	False	False	False	False	False	False	False	False			3.0
ENVO:00000120	oil palm plantation	True	False	False	0	0	True	True	False	False	False	False	False	False	False	False	False	False	False			1.0
ENVO:01000482	soda-lime glass	True	False	False	0	0	False	False	False	False	False	True	False	False	False	False	False	False	False			
ENVO:00002552		False	False	False	0	0	False	False	False	False	False	False	False	False	False	False	False	False	False			
ENVO:01000140	whale fall	True	False	False	0	0	False	False	False	False	False	False	False	False	False	False	False	False	True		4.0	
ENVO:00002418		False	False	False	0	0	False	False	False	False	False	False	False	False	False	False	False	False	False			
ENVO:00000011	garden	True	False	False	0	0	True	False	False	False	False	False	False	False	False	False	False	False	False			
FOODON:00001075	mammalian milk (nonfat, dry)	False	False	False	0	0	False	False	False	False	False	True	False	False	False	False	False	False	False			
ENVO:00002604		False	False	False	0	0	False	False	False	False	False	False	False	False	False	False	False	False	False			
FOODON:00001207	jack bean (whole, dried)	False	False	False	0	0	False	False	False	False	False	True	False	False	False	False	False	False	False			
ENVO:01000451	atmospheric carbon dioxide	True	False	False	0	0	False	False	False	False	False	True	False	False	False	False	False	False	False			
ENVO:01000246	village biome	True	False	False	0	0	True	True	True	False	False	False	False	False	False	False	False	False	False			1.0
ENVO:00000427	meander	True	False	False	0	0	True	False	False	False	False	False	False	False	False	False	False	False	False			1.0
ENVO:00002215	geothermal power plant	True	False	False	0	0	True	False	False	False	False	False	False	False	False	True	True	False	False			1.0
ENVO:00000370	tuya	True	False	False	0	0	True	False	False	False	False	False	False	False	False	False	False	False	False			1.0
ENVO:01000600	rainwater	True	False	False	0	0	False	False	False	False	False	True	False	True	False	False	False	False	False			181.0
ENVO:00002789		False	False	False	0	0	False	False	False	False	False	False	False	False	False	False	False	False	False			
FOODON:00001054	fermented fish or seafood food product	False	False	False	0	0	False	False	False	False	False	True	False	False	False	False	False	False	False			
