subject	subject_label	predicate	content	content_label
GOLDTERMS:3945	Host-associated > Plants > Endosphere	mixs:mixs_extension	mixs:PlantAssociated	
GOLDTERMS:4407	Engineered > Built environment > Water treatment plant	mixs:mixs_extension	mixs:BuiltEnvironment	
GOLDTERMS:4433	Host-associated > Plants > Peat moss	mixs:mixs_extension	mixs:PlantAssociated	
GOLDTERMS:4450	Host-associated > Plants > Nodule	mixs:mixs_extension	mixs:PlantAssociated	
GOLDTERMS:4460	Host-associated > Plants > Phyllosphere	mixs:mixs_extension	mixs:PlantAssociated	
GOLDTERMS:4466	Host-associated > Plants > Roots	mixs:mixs_extension	mixs:PlantAssociated	
GOLDTERMS:4523	Host-associated > Plants > Roots > Nodule	mixs:mixs_extension	mixs:PlantAssociated	
GOLDTERMS:4525	Host-associated > Plants > Phyllosphere > Caulosphere	mixs:mixs_extension	mixs:PlantAssociated	
GOLDTERMS:4538	Host-associated > Plants > Phyllosphere > Anthosphere	mixs:mixs_extension	mixs:PlantAssociated	
GOLDTERMS:4560	Host-associated > Plants > Wood	mixs:mixs_extension	mixs:PlantAssociated	
GOLDTERMS:4572	Host-associated > Plants > Seeds	mixs:mixs_extension	mixs:PlantAssociated	
GOLDTERMS:4600	Host-associated > Plants > Phyllosphere > Carposphere	mixs:mixs_extension	mixs:PlantAssociated	
GOLDTERMS:4621	Host-associated > Plants > Phyllosphere > Anthosphere > Pollen	mixs:mixs_extension	mixs:PlantAssociated	
GOLDTERMS:4865	Host-associated > Plants > Mixed parts	mixs:mixs_extension	mixs:PlantAssociated	
GOLDTERMS:4994	Host-associated > Plants > Rhizome > Stem tuber	mixs:mixs_extension	mixs:PlantAssociated	
GOLDTERMS:5262	Host-associated > Plants > Phyllosphere > Phylloplane/Leaf surface > Epiphytes	mixs:mixs_extension	mixs:PlantAssociated	
GOLDTERMS:5263	Host-associated > Plants > Phyllosphere > Phylloplane/Leaf surface	mixs:mixs_extension	mixs:PlantAssociated	
GOLDTERMS:5264	Host-associated > Plants > Phyllosphere > Carposphere > Epiphytes	mixs:mixs_extension	mixs:PlantAssociated	
GOLDTERMS:5265	Host-associated > Plants > Phyllosphere > Carposphere > Endophytes	mixs:mixs_extension	mixs:PlantAssociated	
GOLDTERMS:5266	Host-associated > Plants > Phyllosphere > Phylloplane/Leaf surface > Endophytes	mixs:mixs_extension	mixs:PlantAssociated	
GOLDTERMS:5268	Host-associated > Plants > Phyllosphere > Leaf > Endophytes	mixs:mixs_extension	mixs:PlantAssociated	
GOLDTERMS:5269	Host-associated > Plants > Phyllosphere > Leaf	mixs:mixs_extension	mixs:PlantAssociated	
GOLDTERMS:5270	Host-associated > Plants > Phyllosphere > Leaf > Xylem vessels	mixs:mixs_extension	mixs:PlantAssociated	
GOLDTERMS:5273	Host-associated > Plants > Tissue	mixs:mixs_extension	mixs:PlantAssociated	
GOLDTERMS:5274	Host-associated > Plants > Phyllosphere > Leaf > Leaf nodule	mixs:mixs_extension	mixs:PlantAssociated	
GOLDTERMS:5277	Host-associated > Plants > Plant callus	mixs:mixs_extension	mixs:PlantAssociated	
GOLDTERMS:5301	Host-associated > Plants > Roots > Rhizosphere	mixs:mixs_extension	mixs:PlantAssociated	
GOLDTERMS:5302	Host-associated > Plants > Roots > Rhizosphere > Soil	mixs:mixs_extension	mixs:Soil	
GOLDTERMS:5304	Host-associated > Plants > Roots > Endosphere	mixs:mixs_extension	mixs:PlantAssociated	
