curie	label	envo_native	obsolete	no_comparison_enum	ancestors_in_enum_count	descendants_in_enum_count	abp	env_sys	biome	terrestrial_biome	aquatic_biome	env_mat	goldterms_mappings	nmdc_scoped_count	gold_hybrid_count	ncbi_scoped_count
ENVO:01000431	mixed forest	True	False	False	0	0	True	True	False	False	False	False	False			209.0
ENVO:01000413	old plant	True	False	False	0	0	False	False	False	False	False	False	False			
ENVO:01000428	area of rocky shore	True	False	False	0	0	True	False	False	False	False	False	False			16.0
ENVO:03501370	stagnant water	True	False	False	0	0	False	False	False	False	False	True	False			8.0
ENVO:00000492	resequent stream	True	False	False	0	0	True	False	False	False	False	False	False			1.0
ENVO:01000325	aquatic layer	True	False	False	0	0	False	False	False	False	False	False	False			
ENVO:00000243	freshwater wetland ecosystem	True	False	False	0	0	False	True	False	False	False	False	False			5.0
ENVO:00000009	national geopolitical entity	True	False	False	0	0	False	False	False	False	False	False	False			
ENVO:01000582	landline telephone	True	False	False	0	0	False	False	False	False	False	False	False			
CHEBI:15377	water	False	False	False	0	0	False	False	False	False	False	False	False			2884.0
ENVO:01000500	brick exterior wall	True	False	False	0	0	True	False	False	False	False	False	False			
ENVO:00002018	sewage	True	False	False	0	0	False	False	False	False	False	True	False			1573.0
ENVO:01000552	natural gas	True	False	False	0	0	False	False	False	False	False	True	False			
ENVO:00000483	plunge pool	True	False	False	0	0	True	False	False	False	False	False	False			1.0
ENVO:01000126	marine sub-littoral zone	True	False	False	0	0	True	False	False	False	False	False	False			3.0
ENVO:02000049	coastal water body	True	False	False	0	0	True	False	False	False	False	False	False			291.0
ENVO:01000610	motor	True	False	False	0	0	False	False	False	False	False	False	False			252.0
ENVO:01000704	hydrological evaporation	True	False	False	0	0	False	False	False	False	False	False	False			
ENVO:00002128	mesophilic sulfur spring	True	False	False	0	0	True	False	False	False	False	False	False			
ENVO:00000050	geyser	True	False	False	0	0	True	False	False	False	False	False	False			47.0
ENVO:06105033		False	False	False	0	0	False	False	False	False	False	False	False			1.0
ENVO:00002220	obsolete cheese spoilage	True	True	False	0	0	False	False	False	False	False	False	False			
CHEBI:37527	acid	False	False	False	0	0	False	False	False	False	False	False	False			13.0
ENVO:00000199	meromictic lake	True	False	False	0	0	True	False	False	False	False	False	False			439.0
ENVO:00002156	Superfund site	True	False	False	0	0	False	False	False	False	False	False	False			5.0
ENVO:00002070		False	False	False	0	0	False	False	False	False	False	False	False			1.0
ENVO:01000003	oil well	True	False	False	0	0	True	False	False	False	False	False	False			21.0
ENVO:01000307	saline water environment	True	False	False	0	0	False	True	False	False	False	False	False			1.0
ENVO:03600081	cloud water	True	False	False	0	0	False	False	False	False	False	True	False			5.0
PATO:0000060	spatial pattern	False	False	False	0	0	False	False	False	False	False	False	False			16.0
ENVO:01000068	marine streamer	True	False	False	0	0	True	False	False	False	False	False	False			1.0
ENVO:00000039	fjord	True	False	False	0	0	True	False	False	False	False	False	False			170.0
ENVO:01000442	dacite	True	False	False	0	0	False	False	False	False	False	True	False			
ENVO:00000054	saline marsh	True	False	False	0	0	False	True	False	False	False	False	True		544.0	79.0
ENVO:06105268	treated wastewater	True	False	False	0	0	False	False	False	False	False	True	False			1.0
ENVO:01000040	oceanic benthopelagic zone biome	True	False	False	0	0	True	True	True	False	True	False	False			49.0
ENVO:01000354	ice cap climatic condition	True	False	False	0	0	False	False	False	False	False	False	False			
PATO:0000033	concentration of	False	False	False	0	0	False	False	False	False	False	False	False			130.0
ENVO:00002034	biofilm	True	False	False	0	0	False	False	False	False	False	False	False			524.0
ENVO:01000066	marine anoxic zone	True	False	False	0	0	True	False	False	False	False	False	False			1.0
ENVO:01000571	cold-blast paraffin lantern	True	False	False	0	0	False	False	False	False	False	False	False			
ENVO:01000472	building roof	True	False	False	0	0	True	False	False	False	False	False	False			
ENVO:00002178	iron-reducing zone of petroleum contaminated sediment	True	False	False	0	0	False	False	False	False	False	False	False			
ENVO:01000088	mid-shelf fronts	True	False	False	0	0	False	False	False	False	False	False	False			1.0
ENVO:00002084		False	False	False	0	0	False	False	False	False	False	False	False			
ENVO:00000125	mineral spring	True	False	False	0	0	True	False	False	False	False	False	False			39.0
ENVO:01000076	marine chemocline	True	False	False	0	0	True	False	False	False	False	False	False			1.0
ENVO:01000131	mesophilic sediment	True	False	False	0	0	False	False	False	False	False	True	False			
ENVO:00000208	marine pelagic zone	True	False	False	0	0	True	False	False	False	False	False	False			138.0
ENVO:00002223	oligotrophic water	True	False	False	0	0	False	False	False	False	False	True	False			6.0
ENVO:00002146	xylene contaminated soil	True	False	False	0	0	True	False	False	False	False	True	False			
ENVO:01000407	littoral zone	True	False	False	0	0	True	True	False	False	False	False	False			
ENVO:00000096	caldera	True	False	False	0	0	True	False	False	False	False	False	False			13.0
ENVO:00005791	sterile water	True	False	False	0	0	False	False	False	False	False	True	False			15.0
ENVO:01000273	lime mudstone	True	False	False	0	0	False	False	False	False	False	True	False			
ENVO:00000463	harbour	True	False	False	0	0	True	False	False	False	False	False	False			189.0
ENVO:01001455	temperate mountain	True	False	False	0	0	True	False	False	False	False	False	False			5.0
ENVO:01000432	swamp forest	True	False	False	0	0	True	True	False	False	False	False	False			
ENVO:01000854	tropical marine coral reef biome	True	False	False	0	0	True	True	True	False	True	False	False			112.0
ENVO:00000133	glacier	True	False	False	0	0	False	False	False	False	False	False	False			338.0
ENVO:01001604	Oman, Yemen, and Saudi Arabia Ecoregion	True	False	False	0	0	False	False	False	False	False	False	False			35.0
ENVO:01001684	interface layer	True	False	False	0	0	False	False	False	False	False	False	False			4.0
ENVO:01000658	dense settlement	True	False	False	0	0	True	True	False	False	False	False	False			
ENVO:01000676	contaminated air	True	False	False	0	0	False	False	False	False	False	True	False			
ENVO:01000916	rubbish landslide	True	False	False	0	0	False	False	False	False	False	False	False			1.0
ENVO:01000487	brick building floor	True	False	False	0	0	True	False	False	False	False	False	False			
ENVO:00000091	beach	True	False	False	0	0	True	False	False	False	False	False	False			9.0
ENVO:01000293	ice mass	True	False	False	0	0	True	False	False	False	False	False	False			
ENVO:01000329	cypress dome	True	False	False	0	0	False	True	False	False	False	False	False			
ENVO:00002060	oil sludge	True	False	False	0	0	False	False	False	False	False	True	False			2.0
ENVO:01001630	submarine groundwater discharge process	True	False	False	0	0	False	False	False	False	False	False	False			8.0
ENVO:00000506	intermittently filled reservoir	True	False	False	0	0	True	False	False	False	False	False	False			1.0
ENVO:01000143	marine reef	True	False	False	0	0	True	False	False	False	False	False	False			
CHEBI:15379	dioxygen	False	False	False	0	0	False	False	False	False	False	False	False			70.0
ENVO:01001811	temperate grassland	True	False	False	0	0	True	True	False	False	False	False	False			2.0
ENVO:01000463	hydraulic cement	True	False	False	0	0	False	False	False	False	False	True	False			
ENVO:00003323	tannery	True	False	False	0	0	True	False	False	False	False	False	False			1.0
ENVO:01000540	troposphere	True	False	False	0	0	False	False	False	False	False	False	False			
ENVO:00002048	chondrite	True	False	False	0	0	False	False	False	False	False	False	False			1.0
ENVO:00002122	arsenic-rich mud	True	False	False	0	0	False	False	False	False	False	True	False			
ENVO:00002195	pyritic acid mine drainage	True	False	False	0	0	True	False	False	False	False	False	False			
ENVO:2017081503		False	False	False	0	0	False	False	False	False	False	False	False			
ENVO:00000895	obsolete temperate shelf and sea biome	True	True	False	0	0	False	False	False	False	False	False	False			8.0
ENVO:00002199	sandy beach	True	False	False	0	0	True	False	False	False	False	False	False			48.0
ENVO:00000097	desert area	True	False	False	0	0	True	False	False	False	False	False	False			2.0
ENVO:01000193	temperate grassland biome	True	False	False	0	0	True	True	True	True	False	False	False			
ENVO:00000109	woodland area	True	False	False	0	0	True	False	False	False	False	False	False			416.0
ENVO:01000405	respirable suspended particulate matter	True	False	False	0	0	False	False	False	False	False	True	False			
ENVO:01000231	lava	True	False	False	0	0	False	False	False	False	False	True	False			
ENVO:01000359	limestone cave	True	False	False	0	0	True	False	False	False	False	False	False			
ENVO:00002162	obsolete fermenting sugar cane juice	True	True	False	0	0	False	False	False	False	False	False	False			
ENVO:00000385	stream mouth	True	False	False	0	0	True	False	False	False	False	False	False			6.0
ENVO:01000230	arid	True	False	False	0	0	False	False	False	False	False	False	False			422.0
