subject	predicate	content
GOLDTERMS:4538	rdfs:label	Host-associated > Plants > Phyllosphere > Anthosphere
GOLDTERMS:4541	mixs:env_broad	ENVO:00000446
GOLDTERMS:4541	mixs:env_medium	ENVO:01000628
GOLDTERMS:4541	rdfs:label	Environmental > Terrestrial > Plant litter
GOLDTERMS:4560	mixs:anatomical_site	PO:0005848
GOLDTERMS:4560	mixs:env_medium	ENVO:00002040
GOLDTERMS:4560	mixs:host_taxon	NCBITaxon:3193
GOLDTERMS:4560	mixs:mixs_extension	mixs:PlantAssociated
GOLDTERMS:4560	rdfs:label	Host-associated > Plants > Wood
GOLDTERMS:4572	mixs:anatomical_site	PO:0009010
GOLDTERMS:4572	mixs:host_taxon	NCBITaxon:3193
GOLDTERMS:4572	mixs:mixs_extension	mixs:PlantAssociated
GOLDTERMS:4572	rdfs:label	Host-associated > Plants > Seeds
GOLDTERMS:4600	mixs:anatomical_site	PO:0009001
GOLDTERMS:4600	mixs:host_taxon	NCBITaxon:3193
GOLDTERMS:4600	mixs:mixs_extension	mixs:PlantAssociated
GOLDTERMS:4600	rdfs:label	Host-associated > Plants > Phyllosphere > Carposphere
GOLDTERMS:4621	mixs:anatomical_site	PO:0025281
GOLDTERMS:4621	mixs:host_taxon	NCBITaxon:3193
GOLDTERMS:4621	mixs:mixs_extension	mixs:PlantAssociated
GOLDTERMS:4621	rdfs:label	Host-associated > Plants > Phyllosphere > Anthosphere > Pollen
GOLDTERMS:4865	mixs:host_taxon	NCBITaxon:3193
GOLDTERMS:4865	mixs:mixs_extension	mixs:PlantAssociated
GOLDTERMS:4865	rdfs:label	Host-associated > Plants > Mixed parts
GOLDTERMS:4994	mixs:anatomical_site	PO:0025522
GOLDTERMS:4994	mixs:host_taxon	NCBITaxon:3193
GOLDTERMS:4994	mixs:mixs_extension	mixs:PlantAssociated
GOLDTERMS:4994	rdfs:label	Host-associated > Plants > Rhizome > Stem tuber
GOLDTERMS:5262	mixs:host_taxon	NCBITaxon:3193
GOLDTERMS:5262	mixs:mixs_extension	mixs:PlantAssociated
GOLDTERMS:5262	rdfs:label	Host-associated > Plants > Phyllosphere > Phylloplane/Leaf surface > Epiphytes
GOLDTERMS:5263	mixs:host_taxon	NCBITaxon:3193
GOLDTERMS:5263	mixs:mixs_extension	mixs:PlantAssociated
GOLDTERMS:5263	rdfs:label	Host-associated > Plants > Phyllosphere > Phylloplane/Leaf surface
GOLDTERMS:5264	mixs:anatomical_site	PO:0009001
GOLDTERMS:5264	mixs:host_taxon	NCBITaxon:3193
GOLDTERMS:5264	mixs:mixs_extension	mixs:PlantAssociated
GOLDTERMS:5264	rdfs:label	Host-associated > Plants > Phyllosphere > Carposphere > Epiphytes
GOLDTERMS:5265	mixs:anatomical_site	PO:0009001
GOLDTERMS:5265	mixs:host_taxon	NCBITaxon:3193
GOLDTERMS:5265	mixs:mixs_extension	mixs:PlantAssociated
GOLDTERMS:5265	rdfs:label	Host-associated > Plants > Phyllosphere > Carposphere > Endophytes
GOLDTERMS:5266	mixs:host_taxon	NCBITaxon:3193
GOLDTERMS:5266	mixs:mixs_extension	mixs:PlantAssociated
GOLDTERMS:5266	rdfs:label	Host-associated > Plants > Phyllosphere > Phylloplane/Leaf surface > Endophytes
GOLDTERMS:5268	mixs:anatomical_site	PO:0025034
GOLDTERMS:5268	mixs:host_taxon	NCBITaxon:3193
GOLDTERMS:5268	mixs:mixs_extension	mixs:PlantAssociated
GOLDTERMS:5268	rdfs:label	Host-associated > Plants > Phyllosphere > Leaf > Endophytes
GOLDTERMS:5269	mixs:anatomical_site	PO:0025034
GOLDTERMS:5269	mixs:host_taxon	NCBITaxon:3193
GOLDTERMS:5269	mixs:mixs_extension	mixs:PlantAssociated
