curie	label	envo_native	obsolete	EnvBroadScaleSoilEnum_10_7	ancestors_in_enum_count	descendants_in_enum_count	nlcd_class	abp	env_sys	biome	terrestrial_biome	aquatic_biome	env_mat	soil	liquid water	water ice	human_construction	building	building_part	goldterms_mappings	nmdc_biosamples_count	ncbi_bioporjects_count
ENVO:01000211	temperate coniferous forest biome	True	False	False	2	0	False	True	True	True	True	False	False	False	False	False	False	False	False	False	3.0	10.0
ENVO:01000182	temperate desert biome	True	False	False	2	0	False	True	True	True	False	False	False	False	False	False	False	False	False	False		2.0
ENVO:01000953	tree line ecotone	True	False	False	0	0	False	False	True	False	False	False	False	False	False	False	False	False	False	False		1.0
PATO:0001455	aerobic	False	False	False	0	0	False	False	False	False	False	False	False	False	False	False	False	False	False	False		1.0
ENVO:017		False	False	False	0	0	False	False	False	False	False	False	False	False	False	False	False	False	False	False		
ENVO:01001473	terrestrial observatory system	True	False	False	0	0	False	False	False	False	False	False	False	False	False	False	False	False	False	False		
ENVO:00002006	liquid water	True	False	False	0	0	False	False	False	False	False	False	True	False	True	False	False	False	False	False		
UBERON:0001988	feces	False	False	False	0	0	False	False	False	False	False	False	False	False	False	False	False	False	False	False		5.0
ENVO:00000419	stack	True	False	False	0	0	False	True	False	False	False	False	False	False	False	False	False	False	False	False		
ENVO:00002305		False	False	False	0	0	False	False	False	False	False	False	False	False	False	False	False	False	False	False		1.0
ENVO:00000182	plateau	True	False	False	0	0	False	True	False	False	False	False	False	False	False	False	False	False	False	False		10.0
CHEBI:17632	nitrate	False	False	False	0	0	False	False	False	False	False	False	False	False	False	False	False	False	False	False		1.0
ENVO:0000529		False	False	False	0	0	False	False	False	False	False	False	False	False	False	False	False	False	False	False		2.0
ENVO:00000390	mountain spur	True	False	False	0	0	False	True	False	False	False	False	False	False	False	False	False	False	False	False		
ENVO:0000499		False	False	False	0	0	False	False	False	False	False	False	False	False	False	False	False	False	False	False		2.0
ENVO:00002115	petroleum enriched sediment	True	False	False	0	0	False	False	False	False	False	False	True	False	False	False	False	False	False	False		2.0
ENVO:00000368	ephemeral island	True	False	False	0	0	False	True	False	False	False	False	False	False	False	False	False	False	False	False		
ENVO:01043		False	False	False	0	0	False	False	False	False	False	False	False	False	False	False	False	False	False	False		
ENVO:00002331		False	False	False	0	0	False	False	False	False	False	False	False	False	False	False	False	False	False	False		1.0
ENVO:09200015	humidity of soil	True	False	False	0	0	False	False	False	False	False	False	False	False	False	False	False	False	False	False		1.0
ENVO:00002319		False	False	False	0	0	False	False	False	False	False	False	False	False	False	False	False	False	False	False		1.0
ENVO:00000441	terracette	True	False	False	0	0	False	True	False	False	False	False	False	False	False	False	False	False	False	False		1.0
ENVO:00000237	hydromorphic/phreatic dambo	True	False	False	0	0	False	False	True	False	False	False	False	False	False	False	False	False	False	False		
ENVO:00002289		False	False	False	0	0	False	False	False	False	False	False	False	False	False	False	False	False	False	False		1.0
ENVO:00000022	river	True	False	False	0	0	False	True	False	False	False	False	False	False	False	False	False	False	False	True		25.0
ENVO:01000787	wildfire	True	False	False	1	0	False	False	False	False	False	False	False	False	False	False	False	False	False	False		4.0
ENVO:01001017	halo	True	False	False	0	0	False	False	False	False	False	False	False	False	False	False	False	False	False	False		3.0
