curie	label	envo_native	obsolete	EnvMediumSoilEnum_10_7	ancestors_in_enum_count	descendants_in_enum_count	nlcd_class	abp	env_sys	biome	terrestrial_biome	aquatic_biome	env_mat	soil	liquid water	water ice	snow	mass_of_environmental_material	human_construction	building	building_part	goldterms_mappings	nmdc_biosamples_count	ncbi_bioprojects_count
ENVO:01000944	microplastic particle	True	False	False	0	0	False	False	False	False	False	False	False	False	False	False	False	True	False	False	False	False		5.0
ENVO:01000885	area of developed space with medium usage intensity	True	False	False	0	0	True	True	False	False	False	False	False	False	False	False	False	False	False	False	False	False		
ENVO:0000555		False	False	False	0	0	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False		2.0
ENVO:0000454		False	False	False	0	0	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False		3.0
ENVO:01000474	brick material	True	False	False	0	0	False	False	False	False	False	False	True	False	False	False	False	False	False	False	False	False		
ENVO:01000237	coastal scrubland	True	False	False	0	0	False	True	False	False	False	False	False	False	False	False	False	False	False	False	False	False		2.0
ENVO:00002040	wood	True	False	False	0	0	False	False	False	False	False	False	True	False	False	False	False	False	False	False	False	False		2.0
CHEBI:33290	food	False	False	False	0	0	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False		1.0
ENVO:03501259	litter	True	False	False	0	0	False	False	False	False	False	False	True	False	False	False	False	False	False	False	False	False		
ENVO:0000496		False	False	False	0	0	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False		2.0
FOODON:00001298	unpasteurized camel milk beverage	False	False	False	0	0	False	False	False	False	False	False	True	False	False	False	False	False	False	False	False	False		
ENVO:03501295	processing plant	True	False	False	0	0	False	True	False	False	False	False	False	False	False	False	False	False	True	True	False	False		1.0
ENVO:01001650	light fraction material	True	False	False	0	0	False	False	False	False	False	False	True	False	False	False	False	False	False	False	False	False		
ENVO:00000481	pinnacle	True	False	False	0	0	False	True	False	False	False	False	False	False	False	False	False	False	False	False	False	False		1.0
ENVO:01000536	factory	True	False	False	0	0	False	True	False	False	False	False	False	False	False	False	False	False	True	True	False	False		2.0
ENVO:01000192	tropical grassland biome	True	False	False	0	0	False	True	True	True	True	False	False	False	False	False	False	False	False	False	False	False		1.0
PATO:0000025	composition	False	False	False	0	0	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False		49.0
ENVO:00000483	plunge pool	True	False	False	0	0	False	True	False	False	False	False	False	False	False	False	False	False	False	False	False	False		1.0
ENVO:01001510	material congelation process	True	False	False	0	0	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False		
FOODON:03401061	50190000 - prepared/preserved foods (gs1 gpc)	False	False	False	0	0	False	False	False	False	False	False	True	False	False	False	False	False	False	False	False	False		
ENVO:00005755	field soil	True	False	True	0	3	False	True	False	False	False	False	True	True	False	False	False	False	False	False	False	False		16.0
FOODON:03301467	bean substance	False	False	False	0	0	False	False	False	False	False	False	True	False	False	False	False	False	False	False	False	False		
ENVO:00000321	joint-plane cave	True	False	False	0	0	False	True	False	False	False	False	False	False	False	False	False	False	False	False	False	False		
ENVO:0000479		False	False	False	0	0	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False		3.0
ENVO:01000666	area of open water	True	False	False	0	0	True	True	False	False	False	False	False	False	False	False	False	False	False	False	False	False		
ENVO:01000814	solid environmental material	True	False	False	0	101	False	False	False	False	False	False	True	False	False	False	False	False	False	False	False	False		1.0
ENVO:00005750	grassland soil	True	False	True	0	2	False	True	False	False	False	False	True	True	False	False	False	False	False	False	False	False	64.0	30.0
ENVO:01001431	land use process	True	False	False	0	0	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False		2.0
ENVO:03600081	cloud water	True	False	False	0	0	False	False	False	False	False	False	True	False	True	False	False	False	False	False	False	False		
ENVO:01001475	omics observatory system	True	False	False	0	0	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False		
FOODON:00002265	soybean seed (field) food product	False	False	False	0	0	False	False	False	False	False	False	True	False	False	False	False	False	False	False	False	False		
ENVO:01000002	water well	True	False	False	0	0	False	True	False	False	False	False	False	False	False	False	False	False	False	False	False	False		2.0
ENVO:01000548	eutrophic lake	True	False	False	0	0	False	True	False	False	False	False	False	False	False	False	False	False	False	False	False	False		1.0
ENVO:01001156	refractory astrogeological material	True	False	False	0	0	False	False	False	False	False	False	True	False	False	False	False	False	False	False	False	False		
FOODON:00002762	bean (cooked)	False	False	False	0	0	False	False	False	False	False	False	True	False	False	False	False	False	False	False	False	False		
ENVO:02000120	zinc chloride fume	True	False	False	0	0	False	False	False	False	False	False	True	False	False	False	False	False	False	False	False	False		
ENVO:01000435	montane forest	True	False	False	0	0	False	True	True	False	False	False	False	False	False	False	False	False	False	False	False	False		1.0
ENVO:00000391	land bridge	True	False	False	0	0	False	True	False	False	False	False	False	False	False	False	False	False	False	False	False	False		
ENVO:00000533	landfill	True	False	False	0	0	False	True	False	False	False	False	False	False	False	False	False	False	False	False	False	False		21.0
ENVO:0000491		False	False	False	0	0	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False		2.0
