	id	elev	geo_loc_name	geo_loc_name_normalized	latitude	latitude_decimal_len	longitude	longitude_decimal_len	normalized_address	formatted_address	lat	lon	distance_between_corners	ne_lat	ne_lon	sw_lat	sw_lon	lat_lon_diff
1607	nmdc:bsm-11-55sa0447	586.4	USA: North Dakota, Chase Lake National Wildlife Refuge	usa north dakota chase lake national wildlife refuge	47.12829	5	-99.243528	6	usa north dakota chase lake national wildlife refuge	Chase Lake National Wildlife Refuge, Tappen, ND 58487, USA	47.0105508	-99.4404978	7.087907093162751	47.03069259999999	-99.4177671	46.98379389999999	-99.4810757	19.847895518929292
1608	nmdc:bsm-11-55tck002	24.4	USA: Puerto Rico, Lajas Experimental Station	usa puerto rico lajas experimental station	18.034464	6	-67.066822	6	usa puerto rico lajas experimental station	Lajas, 00667, Puerto Rico	18.049962	-67.0593449	3.819720494884953	18.0579528	-67.0445689	18.0352469	-67.07168	1.8959701708792873
1609	nmdc:bsm-11-55tck002	24.4	USA: Puerto Rico, Lajas Experimental Station	usa puerto rico lajas experimental station	18.034464	6	-67.066822	6	usa puerto rico lajas experimental station	United States	37.09024	-95.712891	9007.238625192922	74.071038	-66.885417	18.7763	166.9999999	3506.06057992903
1610	nmdc:bsm-11-55v5qf82	25.5	USA: Alabama, Dead Lake	usa alabama dead lake	32.54229	5	-87.806804	6	usa alabama dead lake	Alabama, USA	32.3182314	-86.902298	636.5156901993332	35.008028	-84.888246	30.144425	-88.4732269	88.471148748737
1611	nmdc:bsm-11-55yy5h50	598.4	USA: Washington, Wind River Experimental Forest	usa washington wind river experimental forest	45.850153	6	-121.989672	6	usa washington wind river experimental forest	Wind River Experimental Forest, Washington 98610, USA	45.8090043	-121.9823059						4.610983878807551
1612	nmdc:bsm-11-5626d527	258.0	USA: Wisconsin	usa wisconsin	43.0995	4	-89.4045	4	usa wisconsin	Wisconsin, USA	43.7844397	-88.7878678	748.1548770678803	47.309822	-86.249548	42.4917199	-92.8894331	90.98876752230821
1613	nmdc:bsm-11-566as786	804.5	USA: Alaska, Toolik Field Station	usa alaska toolik field station	68.585776	6	-149.54318	5	usa alaska toolik field station	68° 38' N, 149° 36' W, AK, USA	68.62722769999999	-149.5912475						5.004601315220185
1614	nmdc:bsm-11-56v7tw92	437.8	USA: Kansas, Konza Prairie Biological Station	usa kansas konza prairie biological station	39.075067	6	-96.555874	6	usa kansas konza prairie biological station	Konza Prairie Biological Station, 100 Konza Prairie Ln, Manhattan, KS 66502, USA	39.1068765	-96.6091402						5.800318825756654
1615	nmdc:bsm-11-56vpv269	6.0	USA: Alaska, Utqiaġvik	usa alaska utqiaġvik	71.280858	6	-156.636941	6	usa alaska utqiaġvik	Utqiagvik, AK 99723, USA	71.29055559999999	-156.7886111	15.859459567363366	71.339755	-156.6393239	71.2303331	-156.9244488	5.517502048226717
1616	nmdc:bsm-11-579b4068	1363.6	USA: Colorado, North Sterling	usa colorado north sterling	40.460659	6	-103.033324	6	usa colorado north sterling	North Sterling Reservoir, Colorado 80751, USA	40.7734889	-103.2865504	8.968131230568888	40.8145724	-103.2658155	40.7548346	-103.3373803	40.82688699855331
1617	nmdc:bsm-11-57ejpn32	1.0	USA: Oregon	usa oregon	46.1214	4	-123.2703	4	usa oregon	Oregon, USA	43.8041334	-120.5542012	812.7250288646959	46.299099	-116.463262	41.9920819	-124.703541	334.708909123911
1618	nmdc:bsm-11-57n0vs21	1663.7	USA: Utah, Onaqui	usa utah onaqui	40.176674	6	-112.456785	6	usa utah onaqui	Onaqui Mountains, Utah 84022, USA	40.210325	-112.5594079						9.485817292675074
1619	nmdc:bsm-11-57pwf355		USA: TN, Anderson	usa tn anderson	35.964128	6	-84.282588	6	usa tn anderson	Anderson, TN 37376, USA	34.9939719	-85.90303360000001						182.11318963754056
1620	nmdc:bsm-11-57pwf355		USA: TN, Anderson	usa tn anderson	35.964128	6	-84.282588	6	usa tn anderson	Anderson County, TN, USA	36.0809574	-84.2278796	63.09007910246635	36.3017791	-83.941711	35.910165	-84.44988099999999	13.891329296027408
1621	nmdc:bsm-11-57t2q620	31.7	USA: Florida, Ordway-Swisher Biological Station	usa florida ordway swisher biological station	29.694993	6	-81.947419	6	usa florida ordway swisher biological station	693 FL-26, Melrose, FL 32666, USA	29.7196578	-82.00013200000001						5.782781121260413
1622	nmdc:bsm-11-58174266	193.6	USA: Massachusetts, Harvard Forest & Quabbin Watershed	usa massachusetts harvard forest quabbin watershed	42.478565	6	-72.259572	6	usa massachusetts harvard forest quabbin watershed	324 N Main St, Petersham, MA 01366, USA	42.5315018	-72.1899514						8.19878200406815
