normalized_address	formatted_address	lat	lon	distance_between_corners	ne_lat	ne_lon	sw_lat	sw_lon
usa maryland northwest baltimore base of slope adelphi	Baltimore, MD, USA	39.2903848	-76.6121893	24.984992110076046	39.3722059	-76.5294528	39.1972069	-76.7115407
usa maryland northwest baltimore mid slope adelphi	Baltimore, MD, USA	39.2903848	-76.6121893	24.984992110076046	39.3722059	-76.5294528	39.1972069	-76.7115407
usa maryland northwest baltimore top of slope adelph	Baltimore, MD, USA	39.2903848	-76.6121893	24.984992110076046	39.3722059	-76.5294528	39.1972069	-76.7115407
usa maryland smithsonian environmental research center	647 Contees Wharf Rd, Edgewater, MD 21037, USA	38.90156229999999	-76.5564251					
usa maryland winters lane lower soil pit	Winters Ln, Catonsville, MD 21228, USA	39.2791557	-76.7419741	2.353953017432157	39.2903358	-76.7336521	39.2711441	-76.745195
usa maryland winters lane upper soil pit	Winters Ln, Catonsville, MD 21228, USA	39.2791557	-76.7419741	2.353953017432157	39.2903358	-76.7336521	39.2711441	-76.745195
usa massachusettes	Massachusetts, USA	42.4072107	-71.3824374	355.6931019702583	42.886778	-69.85886099999999	41.18705300000001	-73.5082101
usa massachusetts	Massachusetts, USA	42.4072107	-71.3824374	355.6931019702583	42.886778	-69.85886099999999	41.18705300000001	-73.5082101
usa massachusetts d01 harv plot harv 07	Harvard, MA, USA	42.5000919	-71.5828444	14.35367283109543	42.550424	-71.529753	42.447486	-71.635397
usa massachusetts harvard forest quabbin watershed	324 N Main St, Petersham, MA 01366, USA	42.5315018	-72.1899514					
usa massachusetts neon d01 harv plot harv 07	Harvard, MA, USA	42.5000919	-71.5828444	14.35367283109543	42.550424	-71.529753	42.447486	-71.635397
usa massachusetts oak pine forest	Massachusetts, USA	42.4072107	-71.3824374	355.6931019702583	42.886778	-69.85886099999999	41.18705300000001	-73.5082101
usa massachusetts peterson farm	Massachusetts, USA	42.4072107	-71.3824374	355.6931019702583	42.886778	-69.85886099999999	41.18705300000001	-73.5082101
usa md anne arundel	Anne Arundel County, MD, USA	38.9530109	-76.5488232	72.28747601550872	39.2373979	-76.3494789	38.711099	-76.84036189999999
usa mesa arizona	Mesa, AZ, USA	33.4151843	-111.8314724	39.21947023481539	33.513376	-111.5806542	33.2776239	-111.894881
usa mi gogebic	Gogebic, MI 49947, USA	46.3524478	-89.5026496					
usa mi gogebic	Gogebic County, MI, USA	46.4392785	-89.92147399999999	151.458067221865	47.0419639	-88.99064	46.0973216	-90.4181358
usa michigan	Michigan, USA	44.3148443	-85.60236429999999	981.479803794	48.3056109	-82.122805	41.696118	-90.41839189999999
usa michigan university of notre dame environmental research center	Michigan, USA	44.3148443	-85.60236429999999	981.479803794	48.3056109	-82.122805	41.696118	-90.41839189999999
usa michigan university of notre dame environmental research center neon	Michigan, USA	44.3148443	-85.60236429999999	981.479803794	48.3056109	-82.122805	41.696118	-90.41839189999999
usa middleton wisconsin	Middleton, WI, USA	43.09721740000001	-89.5042876	10.67365016024024	43.145247	-89.46298	43.082029	-89.5619298
usa minnesota	Minnesota, USA	46.729553	-94.6858998	883.0191617199455	49.384472	-89.4838122	43.499361	-97.239093
usa minnesota balasam	Balsam Township, MN, USA	46.8024851	-93.1114111	13.963548864765116	46.8534569	-93.059485	46.7660689	-93.19125009999999
usa minnesota balasam	Balsam Township, MN, USA	47.49669249999999	-93.40740869999999	24.544422742385564	47.544559	-93.278048	47.4568169	-93.57785690000001
usa minnesota grand rapids	Grand Rapids, MN 55744, USA	47.2371658	-93.53021419999999	9.635341057212807	47.26092509999999	-93.4933439	47.1953868	-93.5768201
usa minnesota marcel experimental forest	Marcell Experimental Forest, Northeast Itasca, MN 55709, USA	47.5616055	-93.4771394					
