id	elev	geo_loc_name	geo_loc_name_normalized	latitude	latitude_decimal_len	longitude	longitude_decimal_len
nmdc:bsm-11-spzb5g89	1.0	USA: Oregon	usa oregon	46.1216	4	-123.2695	4
nmdc:bsm-11-sq388551		USA: California	usa california	34.4149	4	-119.841	3
nmdc:bsm-11-sq85rr87	400	USA: Kansas, Konza Prairie Biological Station	usa kansas konza prairie biological station	39.119992	6	-96.546015	6
nmdc:bsm-11-sq9as180	6.5	USA: Alaska, Utqiaġvik	usa alaska utqiaġvik	71.258668	6	-156.648849	6
nmdc:bsm-11-sqckmd04	280.7	USA: Tennessee, Oak Ridge	usa tennessee oak ridge	35.938227	6	-84.32368	5
nmdc:bsm-11-sqkdh226	190	USA: Massachusetts, Harvard Forest & Quabbin Watershed	usa massachusetts harvard forest quabbin watershed	42.424246	6	-72.258285	6
nmdc:bsm-11-sqpv6146	62.0	USA: Oregon	usa oregon	44.5882	4	-123.1925	4
nmdc:bsm-11-sqt2k060	130.1	USA: Puerto Rico, Guanica Forest	usa puerto rico guanica forest	17.96911	5	-66.864276	6
nmdc:bsm-11-sqyez187	1622.7	USA: Colorado, Central Plains Experimental Range	usa colorado central plains experimental range	40.81275	5	-104.696873	6
nmdc:bsm-11-sr1m9y41	41.4	USA: Florida, Ordway-Swisher Biological Station	usa florida ordway swisher biological station	29.691969	6	-81.992063	6
nmdc:bsm-11-sr5ccj40	172.4	USA: Puerto Rico, Guanica Forest	usa puerto rico guanica forest	17.972832	6	-66.857711	6
nmdc:bsm-11-sr5sb703	308.6	USA: Texas, Lyndon B. Johnson National Grassland	usa texas lyndon b johnson national grassland	33.380971	6	-97.620209	6
nmdc:bsm-11-srabh628	258.0	USA: Wisconsin	usa wisconsin	43.0995	4	-89.4045	4
nmdc:bsm-11-srev1855	278.1	USA: Texas, Lyndon B. Johnson National Grassland	usa texas lyndon b johnson national grassland	33.397987	6	-97.568339	6
nmdc:bsm-11-srjcf120	258.0	USA: Wisconsin	usa wisconsin	43.0995	4	-89.4045	4
nmdc:bsm-11-srsk0s50	86.6	USA: Puerto Rico, Guanica Forest	usa puerto rico guanica forest	17.970294	6	-66.824633	6
nmdc:bsm-11-srsray11	260.1	USA: Tennessee, Oak Ridge	usa tennessee oak ridge	35.965875	6	-84.230646	6
nmdc:bsm-11-srwtps70	2120.8	USA: Wyoming, Yellowstone National Park	usa wyoming yellowstone national park	44.954777	6	-110.533202	6
nmdc:bsm-11-srwv3546	338.5	USA: Tennessee, Oak Ridge	usa tennessee oak ridge	35.964418	6	-84.285882	6
nmdc:bsm-11-srxzp068	1171.6	USA: Virginia, Mountain Lake Biological Station	usa virginia mountain lake biological station	37.378569	6	-80.527279	6
nmdc:bsm-11-srz6pq83	1651.9	USA: Hawaii, Puu Makaala Natural Area Reserve	usa hawaii puu makaala natural area reserve	19.564817	6	-155.313626	6
nmdc:bsm-11-ss86a238	594.1	USA: North Dakota, Chase Lake National Wildlife Refuge	usa north dakota chase lake national wildlife refuge	47.12584	5	-99.253801	6
nmdc:bsm-11-ssermy88	400	USA: Kansas, Konza Prairie Biological Station	usa kansas konza prairie biological station	39.119992	6	-96.546015	6
nmdc:bsm-11-sst52782	2141.8	USA: California, Lower Teakettle	usa california lower teakettle	36.999698	6	-119.011037	6
nmdc:bsm-11-ssvdm625		USA: KS, Riley	usa ks riley	39.100774	6	-96.563075	6
nmdc:bsm-11-stg6v960	3059.6	USA: Colorado, Niwot Ridge	usa colorado niwot ridge	40.041058	6	-105.547043	6
nmdc:bsm-11-stgvnc38	258.0	USA: Wisconsin	usa wisconsin	43.0995	4	-89.4045	4
nmdc:bsm-11-stjhm055	504.8	USA: Michigan, University of Notre Dame Environmental Research Center	usa michigan university of notre dame environmental research center	46.256247	6	-89.53609	5
nmdc:bsm-11-stjpwh75	1359.6	USA: Colorado, North Sterling	usa colorado north sterling	40.473273	6	-103.018333	6
nmdc:bsm-11-stzc8e58	1651.1	USA: Colorado, Central Plains Experimental Range	usa colorado central plains experimental range	40.810934	6	-104.729248	6
nmdc:bsm-11-sv771k17	1.0	USA: Oregon	usa oregon	46.1209	4	-123.2709	4
nmdc:bsm-11-svhaj048	392.1	USA: Kansas, Konza Prairie Biological Station	usa kansas konza prairie biological station	39.103827	6	-96.561811	6
nmdc:bsm-11-svxckb49		USA: North Woodstock, New Hampshire	usa north woodstock new hampshire	43.9547	4	-71.7227	4
nmdc:bsm-11-sw5axf27	1650.7	USA: Utah, Onaqui	usa utah onaqui	40.174021	6	-112.45284	5
nmdc:bsm-11-swe6xf94	1799.3	USA: Utah, Moab	usa utah moab	38.257569	6	-109.413674	6
nmdc:bsm-11-swme4v31	1.0	USA: Oregon, Clatskanie	usa oregon clatskanie	46.121307	6	-123.269236	6
nmdc:bsm-11-swqy8984	99	USA: Alabama, Talladega National Forest	usa alabama talladega national forest	32.898842	6	-87.446131	6
nmdc:bsm-11-swy2fc49	573.6	USA: North Dakota, Chase Lake National Wildlife Refuge	usa north dakota chase lake national wildlife refuge	47.136134	6	-99.232896	6
nmdc:bsm-11-swy7sr86		USA: TX, Wise	usa tx wise	33.40123	5	-97.57	2
nmdc:bsm-11-sx2gdf23	1099.5	USA: Hawaii, Puu Makaala Natural Area Reserve	usa hawaii puu makaala natural area reserve	19.554243	6	-155.228851	6
nmdc:bsm-11-sx6g9p20	1175.7	USA: Virginia, Mountain Lake Biological Station	usa virginia mountain lake biological station	37.377486	6	-80.527932	6
nmdc:bsm-11-sxk4m027	515.1	USA: Oklahoma, Marvin Klemme Range Research Station	usa oklahoma marvin klemme range research station	35.412699	6	-99.058259	6
nmdc:bsm-11-sxkd5q37	258.0	USA: Wisconsin	usa wisconsin	43.0995	4	-89.4045	4
nmdc:bsm-11-sxm38813		USA: OK, Washita	usa ok washita	35.410599	6	-99.058779	6
nmdc:bsm-11-sy2byr29	83.9	USA: Alabama, Talladega National Forest	usa alabama talladega national forest	32.974426	6	-87.42694	5
nmdc:bsm-11-sy2stn94	308.2	USA: Tennessee, Oak Ridge	usa tennessee oak ridge	35.982199	6	-84.212753	6
nmdc:bsm-11-sy8b7r39	524.3	USA: Wisconsin, Steigerwaldt-Chequamegon	usa wisconsin steigerwaldt chequamegon	45.797373	6	-90.092307	6
nmdc:bsm-11-syb42s66	1.0	USA: Oregon	usa oregon	46.1212	4	-123.2698	4
nmdc:bsm-11-syjsn240	3494.9	USA: Colorado, Niwot Ridge	usa colorado niwot ridge	40.051247	6	-105.565041	6
nmdc:bsm-11-symyxf83	98.9	USA: Puerto Rico, Guanica Forest	usa puerto rico guanica forest	17.963818	6	-66.875667	6
nmdc:bsm-11-sz48rw05	1649.3	USA: Colorado, Central Plains Experimental Range	usa colorado central plains experimental range	40.818371	6	-104.746715	6
nmdc:bsm-11-sz67wv88	505.5	USA: Michigan, University of Notre Dame Environmental Research Center	usa michigan university of notre dame environmental research center	46.232249	6	-89.534573	6
nmdc:bsm-11-szceht46	184.6	USA: Massachusetts, Harvard Forest & Quabbin Watershed	usa massachusetts harvard forest quabbin watershed	42.392282	6	-72.254598	6
nmdc:bsm-11-szd4fj93	1.0	USA: Oregon	usa oregon	46.1212	4	-123.2713	4
nmdc:bsm-11-szd9e306	258.0	USA: Wisconsin	usa wisconsin	43.0995	4	-89.4045	4
nmdc:bsm-11-szfgmc26	175.1	USA: Massachusetts, Harvard Forest & Quabbin Watershed	usa massachusetts harvard forest quabbin watershed	42.45243	5	-72.250472	6
nmdc:bsm-11-szg9d079	567.8	USA: Washington, Wind River Experimental Forest	usa washington wind river experimental forest	45.822941	6	-121.998707	6
nmdc:bsm-11-szx1n339	1795.9	USA: Utah, Onaqui	usa utah onaqui	40.15854	5	-112.521574	6
nmdc:bsm-11-szzf0p32	190	USA: Massachusetts, Harvard Forest & Quabbin Watershed	usa massachusetts harvard forest quabbin watershed	42.424246	6	-72.258285	6
nmdc:bsm-11-t00a3s17	1099.5	USA: Hawaii, Puu Makaala Natural Area Reserve	usa hawaii puu makaala natural area reserve	19.554243	6	-155.228851	6
nmdc:bsm-11-t035gg59	181.0	USA: Puerto Rico, Guanica Forest	usa puerto rico guanica forest	17.973138	6	-66.861701	6
nmdc:bsm-11-t043x886	149.5	USA: Puerto Rico, Guanica Forest	usa puerto rico guanica forest	17.972768	6	-66.851235	6
