serial_number	content	sample_count	content_list	content_count	envo_count	extracted_label	extracted_curie	real_label	longest_annotation_curie	longest_annotation_label	curie_list	unique_curie_count
4073	ENVO_00002332	1	ENVO_00002332	1	1		ENVO:00002332				['ENVO:00002332']	1
4074	ENVO_00002345	1	ENVO_00002345	1	1		ENVO:00002345				['ENVO:00002345']	1
4075	ENVO_00002350	1	ENVO_00002350	1	1		ENVO:00002350				['ENVO:00002350']	1
4076	ENVO_00002352	1	ENVO_00002352	1	1		ENVO:00002352				['ENVO:00002352']	1
4077	ENVO_00002358	1	ENVO_00002358	1	1		ENVO:00002358				['ENVO:00002358']	1
4078	hill biome [ENVO:00000085]	1	hill biome [ENVO:00000085]	1	1	hill biome	ENVO:00000085	alpine glacier	ENVO:00000428	biome	['ENVO:00000085', 'ENVO:00000428']	2
4079	plain biome [ENVO:00000254]|agricultural biome [ENVO:01000235]	1	plain biome [ENVO:00000254]	2	1	plain biome	ENVO:00000254	till plain	ENVO:00000086	plain	['ENVO:00000086', 'ENVO:00000254']	2
4079	plain biome [ENVO:00000254]|agricultural biome [ENVO:01000235]	1	agricultural biome [ENVO:01000235]	2	1	agricultural biome	ENVO:01000235	ultramafic lava	ENVO:00000428	biome	['ENVO:01000235', 'ENVO:00000428']	2
4080	plain biome [ENVO:00000254]|agricultural biome [ENVO:01000245]	1	plain biome [ENVO:00000254]	2	1	plain biome	ENVO:00000254	till plain	ENVO:00000086	plain	['ENVO:00000086', 'ENVO:00000254']	2
4080	plain biome [ENVO:00000254]|agricultural biome [ENVO:01000245]	1	agricultural biome [ENVO:01000245]	2	1	agricultural biome	ENVO:01000245	cropland biome	ENVO:00000428	biome	['ENVO:01000245', 'ENVO:00000428']	2
4081	plain biome [ENVO:00000254]|agricultural biome [ENVO:01000250]	1	plain biome [ENVO:00000254]	2	1	plain biome	ENVO:00000254	till plain	ENVO:00000086	plain	['ENVO:00000086', 'ENVO:00000254']	2
4081	plain biome [ENVO:00000254]|agricultural biome [ENVO:01000250]	1	agricultural biome [ENVO:01000250]	2	1	agricultural biome	ENVO:01000250	subpolar coniferous forest biome	ENVO:00000428	biome	['ENVO:01000250', 'ENVO:00000428']	2
4082	plain biome [ENVO:00000254]|agricultural biome [ENVO:01000254]	1	plain biome [ENVO:00000254]	2	1	plain biome	ENVO:00000254	till plain	ENVO:00000086	plain	['ENVO:00000086', 'ENVO:00000254']	2
4082	plain biome [ENVO:00000254]|agricultural biome [ENVO:01000254]	1	agricultural biome [ENVO:01000254]	2	1	agricultural biome	ENVO:01000254	environmental system	ENVO:00000428	biome	['ENVO:01000254', 'ENVO:00000428']	2
4083	plain biome [ENVO:00000254]|agricultural biome [ENVO:01000258]	1	plain biome [ENVO:00000254]	2	1	plain biome	ENVO:00000254	till plain	ENVO:00000086	plain	['ENVO:00000086', 'ENVO:00000254']	2
4083	plain biome [ENVO:00000254]|agricultural biome [ENVO:01000258]	1	agricultural biome [ENVO:01000258]	2	1	agricultural biome	ENVO:01000258	fluid cline	ENVO:00000428	biome	['ENVO:01000258', 'ENVO:00000428']	2
