sub	mixs:env_broad	mixs:env_local	mixs:env_medium	mixs:host_taxon	mixs:mixs_extension	mixs:other	rdfs:comment	rdfs:label	skos:closeMatch	skos:exactMatch	env_broad_label	env_local_label	env_medium_label
GOLDTERMS:4239	ENVO:01000254	ENVO:00000446	ENVO:00002261		mixs:Soil		env_broad: environmental system; env_local: terrestrial biome; env_medium: forest soil; mixs_extension: MIXS:Soil; partial	Environmental > Terrestrial > Soil > Loam > Forest soil			environmental system	terrestrial biome	forest soil
GOLDTERMS:4241	ENVO:01000254	ENVO:00000446	ENVO:00002258		mixs:Soil		env_broad: environmental system; env_local: terrestrial biome; env_medium: loam; mixs_extension: MIXS:Soil; partial	Environmental > Terrestrial > Soil > Loam		ENVO:00002258	environmental system	terrestrial biome	loam
GOLDTERMS:4242	ENVO:00000077	ENVO:00000446	ENVO:00002258		mixs:Soil		env_broad: agricultural ecosystem; env_local: terrestrial biome; env_medium: loam; mixs_extension: MIXS:Soil; partial	Environmental > Terrestrial > Soil > Loam > Agricultural land			agricultural ecosystem	terrestrial biome	loam
GOLDTERMS:4243	ENVO:01000254	ENVO:00000446	ENVO:00002258		mixs:Soil	PATO:0015032	env_broad: environmental system; env_local: terrestrial biome; env_medium: loam; mixs_extension: MIXS:Soil; other: increased contamination; partial	Environmental > Terrestrial > Soil > Loam > Contaminated			environmental system	terrestrial biome	loam
GOLDTERMS:4244	ENVO:01000254	ENVO:00000446	ENVO:00002259		mixs:Soil		env_broad: environmental system; env_local: terrestrial biome; env_medium: agricultural soil; mixs_extension: MIXS:Soil; partial	Environmental > Terrestrial > Soil > Loam > Agricultural soil		ENVO:00002259	environmental system	terrestrial biome	agricultural soil
GOLDTERMS:4418	ENVO:01000254	ENVO:00000446	ENVO:00001998		mixs:Soil		env_broad: environmental system; env_local: terrestrial biome; env_medium: soil; mixs_extension: MIXS:Soil; partial	Environmental > Terrestrial > Soil > Fossil			environmental system	terrestrial biome	soil
GOLDTERMS:4578	ENVO:01000254	ENVO:00000446	ENVO:00001998		mixs:Soil		env_broad: environmental system; env_local: terrestrial biome; env_medium: soil; mixs_extension: MIXS:Soil; partial	Environmental > Terrestrial > Soil > Soil crust			environmental system	terrestrial biome	soil
GOLDTERMS:4711	ENVO:01000254	ENVO:01000910	ENVO:00001998		mixs:Soil	ENVO:01000909	env_broad: environmental system; env_local: soil biocrust; env_medium: soil; mixs_extension: MIXS:Soil; other: biocrust; partial	Environmental > Terrestrial > Soil > Biocrust		ENVO:01000910	environmental system	soil biocrust	soil
GOLDTERMS:4745	ENVO:01000254	ENVO:00000446	ENVO:00001998		mixs:Soil	ENVO:00000133	env_broad: environmental system; env_local: terrestrial biome; env_medium: soil; mixs_extension: MIXS:Soil; other: glacier; partial	Environmental > Terrestrial > Soil > Glacier			environmental system	terrestrial biome	soil
GOLDTERMS:5244	ENVO:01000254	ENVO:00000446	ENVO:00001998	NCBITaxon:12908	mixs:Soil		env_broad: environmental system; env_local: terrestrial biome; env_medium: soil; host_taxon: unclassified sequences; mixs_extension: MIXS:Soil; partial	Environmental > Terrestrial > Soil > Unclassified > Riparian soil			environmental system	terrestrial biome	soil
GOLDTERMS:5414	ENVO:01000254	ENVO:00000446	ENVO:00005772	NCBITaxon:12908	mixs:Soil		env_broad: environmental system; env_local: terrestrial biome; env_medium: orchard soil; host_taxon: unclassified sequences; mixs_extension: MIXS:Soil; partial	Environmental > Terrestrial > Soil > Unclassified > Orchard soil		ENVO:00005772	environmental system	terrestrial biome	orchard soil
GOLDTERMS:5420	ENVO:01000254	ENVO:00000108	ENVO:00001998	NCBITaxon:12908	mixs:Soil		env_broad: environmental system; env_local: meadow ecosystem; env_medium: soil; host_taxon: unclassified sequences; mixs_extension: MIXS:Soil; partial	Environmental > Terrestrial > Soil > Unclassified > Meadow			environmental system	meadow ecosystem	soil
GOLDTERMS:5421	ENVO:01000254	ENVO:00000022	ENVO:00001998	NCBITaxon:12908	mixs:Soil		env_broad: environmental system; env_local: river; env_medium: soil; host_taxon: unclassified sequences; mixs_extension: MIXS:Soil; partial	Environmental > Terrestrial > Soil > Unclassified > River			environmental system	river	soil
GOLDTERMS:5424	ENVO:00000077	ENVO:00000446	ENVO:00005802		mixs:Soil		env_broad: agricultural ecosystem; env_local: terrestrial biome; env_medium: bulk soil; mixs_extension: MIXS:Soil; partial	Environmental > Terrestrial > Soil > Bulk soil > Agricultural land			agricultural ecosystem	terrestrial biome	bulk soil
GOLDTERMS:5434	ENVO:01000254	ENVO:00000446	ENVO:00001998		mixs:Soil	ENVO:00002034	env_broad: environmental system; env_local: terrestrial biome; env_medium: soil; mixs_extension: MIXS:Soil; other: biofilm; partial	Environmental > Terrestrial > Soil > Biofilm			environmental system	terrestrial biome	soil
GOLDTERMS:5438	ENVO:00000078	ENVO:00000446	ENVO:00001998	NCBITaxon:12908	mixs:Soil		env_broad: farm; env_local: terrestrial biome; env_medium: soil; host_taxon: unclassified sequences; mixs_extension: MIXS:Soil; partial	Environmental > Terrestrial > Soil > Unclassified > Farm		ENVO:00000078	farm	terrestrial biome	soil
GOLDTERMS:5439	ENVO:01000254	ENVO:01001835	ENVO:00005741	NCBITaxon:12908	mixs:Soil		env_broad: environmental system; env_local: alpine biome; env_medium: alpine soil; host_taxon: unclassified sequences; mixs_extension: MIXS:Soil; partial	Environmental > Terrestrial > Soil > Unclassified > Alpine		ENVO:00005741	environmental system	alpine biome	alpine soil
GOLDTERMS:5585	ENVO:01000254	ENVO:00000108	ENVO:00005802		mixs:Soil		env_broad: environmental system; env_local: meadow ecosystem; env_medium: bulk soil; mixs_extension: MIXS:Soil; partial	Environmental > Terrestrial > Soil > Bulk soil > Meadow			environmental system	meadow ecosystem	bulk soil
