s	s_is_soil	s_is_reasonable_other	slab	p	plab	p_lab_or_id	relation_is_reasonable	o	o_is_soil	o_is_reasonable_other	olab	slab_olab_cosine	sole_reasonable_other	sole_soil
ENVO:00005744	True	False	allotment garden soil	rdfs:subClassOf		rdfs:subClassOf	False	ENVO:00002263	True	False	garden soil	0.7237468644557459		
ENVO:00005746	True	False	savanna soil	RO:0001025	located in	located in	True	ENVO:00000261	False	True	savanna	0.7637626158259734	savanna	savanna soil
ENVO:00005746	True	False	savanna soil	rdfs:subClassOf		rdfs:subClassOf	False	ENVO:00005750	True	False	grassland soil	0.6943650748294136		
ENVO:00005747	True	False	compost soil	RO:0001000	derives from	derives from	False	ENVO:00002170	False	False	compost	0.7637626158259734		compost soil
ENVO:00005747	True	False	compost soil	rdfs:subClassOf		rdfs:subClassOf	False	ENVO:00001998	False	False	soil	0.5773502691896258		compost soil
ENVO:00005748	True	False	dry soil	RO:0000086	has quality	has quality	False	PATO:0001824	False	False	dry	0.6123724356957946		dry soil
ENVO:00005748	True	False	dry soil	rdfs:subClassOf		rdfs:subClassOf	False	ENVO:00001998	False	False	soil	0.7071067811865475		dry soil
ENVO:00005749	True	False	farm soil	rdfs:subClassOf		rdfs:subClassOf	False	ENVO:00001998	False	False	soil	0.6666666666666666		farm soil
ENVO:00005750	True	False	grassland soil	RO:0001025	located in	located in	True	ENVO:00000106	False	True	grassland area	0.7142857142857143	grassland area	grassland soil
ENVO:00005750	True	False	grassland soil	rdfs:subClassOf		rdfs:subClassOf	False	ENVO:00001998	False	False	soil	0.5345224838248488		grassland soil
ENVO:00005751	True	False	jungle soil	rdfs:subClassOf		rdfs:subClassOf	False	ENVO:00001998	False	False	soil	0.6030226891555273		jungle soil
ENVO:00005752	True	False	sawah soil	rdfs:subClassOf		rdfs:subClassOf	False	ENVO:00001998	False	False	soil	0.6324555320336759		sawah soil
ENVO:00005753	True	False	urea enriched soil	ENVO:02000200	has increased levels of	has increased levels of	False	CHEBI:16199	False	True	urea	0.47140452079103173	urea	urea enriched soil
ENVO:00005753	True	False	urea enriched soil	rdfs:subClassOf		rdfs:subClassOf	False	ENVO:00003082	True	False	enriched soil	0.8498365855987974		
ENVO:00005754	True	False	fertilized soil	rdfs:subClassOf		rdfs:subClassOf	False	ENVO:00001998	False	False	soil	0.5163977794943222		fertilized soil
ENVO:00005755	True	False	field soil	BFO:0000050	part of	part of	True	ENVO:00000114	False	True	agricultural field	0.5962847939999439	agricultural field	field soil
ENVO:00005755	True	False	field soil	rdfs:subClassOf		rdfs:subClassOf	False	ENVO:00001998	False	False	soil	0.6324555320336759		field soil
ENVO:00005756	True	False	lawn soil	rdfs:subClassOf		rdfs:subClassOf	False	ENVO:00001998	False	False	soil	0.6666666666666666		lawn soil
ENVO:00005757	True	False	bacteria enriched soil	rdfs:subClassOf		rdfs:subClassOf	False	ENVO:00003082	True	False	enriched soil	0.7687061147858074		
ENVO:00005758	True	False	alluvial swamp soil	BFO:0000050	part of	part of	True	ENVO:00000233	False	True	swamp ecosystem	0.47387910220727386	swamp ecosystem	alluvial swamp soil
ENVO:00005758	True	False	alluvial swamp soil	rdfs:subClassOf		rdfs:subClassOf	False	ENVO:00002871	True	False	alluvial soil	0.827170191868511		
ENVO:00005759	True	False	alluvial paddy field soil	rdfs:subClassOf		rdfs:subClassOf	False	ENVO:00002871	True	False	alluvial soil	0.7211102550927979		
ENVO:00005759	True	False	alluvial paddy field soil	rdfs:subClassOf		rdfs:subClassOf	False	ENVO:00005740	True	False	paddy field soil	0.8		
ENVO:00005760	True	False	burned soil	RO:0002353	output of	output of	False	ENVO:01000839	False	False	combustion process	0.6396021490668313		burned soil
ENVO:00005760	True	False	burned soil	rdfs:subClassOf		rdfs:subClassOf	False	ENVO:00001998	False	False	soil	0.6030226891555273		burned soil
ENVO:00005761	True	False	meadow soil	BFO:0000050	part of	part of	True	ENVO:00000108	False	True	meadow ecosystem	0.6784005252999682	meadow ecosystem	meadow soil
ENVO:00005761	True	False	meadow soil	rdfs:subClassOf		rdfs:subClassOf	False	ENVO:00001998	False	False	soil	0.6030226891555273		meadow soil
ENVO:00005762	True	False	chloropicrin enriched soil	ENVO:02000200	has increased levels of	has increased levels of	False	CHEBI:39285	False	True	chloropicrin	0.6793662204867574	chloropicrin	chloropicrin enriched soil
ENVO:00005762	True	False	chloropicrin enriched soil	rdfs:subClassOf		rdfs:subClassOf	False	ENVO:00003082	True	False	enriched soil	0.7071067811865476		
ENVO:00005763	True	False	humus-rich acidic ash soil	ENVO:02000200	has increased levels of	has increased levels of	False	ENVO:01000000	False	False	humus	0.43852900965351466		humus-rich acidic ash soil
ENVO:00005763	True	False	humus-rich acidic ash soil	ENVO:02000200	has increased levels of	has increased levels of	False	ENVO:02000090	False	False	ash	0.3396831102433787		humus-rich acidic ash soil
ENVO:00005763	True	False	humus-rich acidic ash soil	rdfs:subClassOf		rdfs:subClassOf	False	ENVO:00003082	True	False	enriched soil	0.5439282932204212		
ENVO:00005764	True	False	pond soil	RO:0002220	adjacent to	adjacent to	True	ENVO:00000033	False	True	pond	0.6666666666666666	pond	pond soil
