sub	pred	object_or_value
GOLDTERMS:5754	rdfs:comment	env_broad: environmental system; env_local: terrestrial biome; env_medium: soil; mixs_extension: MIXS:Soil; partial
GOLDTERMS:5754	rdfs:label	Environmental > Terrestrial > Soil > Manure-fertilized
GOLDTERMS:5414	mixs:env_broad	ENVO:01000254
GOLDTERMS:5414	mixs:env_local	ENVO:00000446
GOLDTERMS:5414	mixs:env_medium	ENVO:00005772
GOLDTERMS:5414	mixs:host_taxon	NCBITaxon:12908
GOLDTERMS:5414	mixs:mixs_extension	mixs:Soil
GOLDTERMS:5414	rdfs:comment	env_broad: environmental system; env_local: terrestrial biome; env_medium: orchard soil; host_taxon: unclassified sequences; mixs_extension: MIXS:Soil; partial
GOLDTERMS:5414	rdfs:label	Environmental > Terrestrial > Soil > Unclassified > Orchard soil
GOLDTERMS:5414	skos:exactMatch	ENVO:00005772
GOLDTERMS:4239	mixs:env_broad	ENVO:01000254
GOLDTERMS:4239	mixs:env_local	ENVO:00000446
GOLDTERMS:4239	mixs:env_medium	ENVO:00002261
GOLDTERMS:4239	mixs:mixs_extension	mixs:Soil
GOLDTERMS:4239	rdfs:comment	env_broad: environmental system; env_local: terrestrial biome; env_medium: forest soil; mixs_extension: MIXS:Soil; partial
GOLDTERMS:4239	rdfs:label	Environmental > Terrestrial > Soil > Loam > Forest soil
GOLDTERMS:5792	mixs:env_broad	ENVO:01000254
GOLDTERMS:5792	mixs:env_local	ENVO:00000023
GOLDTERMS:5792	mixs:env_medium	ENVO:00001998
GOLDTERMS:5792	mixs:host_taxon	NCBITaxon:12908
GOLDTERMS:5792	mixs:mixs_extension	mixs:Soil
GOLDTERMS:5792	rdfs:comment	env_broad: environmental system; env_local: stream; env_medium: soil; host_taxon: unclassified sequences; mixs_extension: MIXS:Soil; partial
GOLDTERMS:5792	rdfs:label	Environmental > Terrestrial > Soil > Unclassified > Creek
GOLDTERMS:Environmental-Terrestrial-Soil-Biochar	mixs:env_broad	ENVO:01000254
GOLDTERMS:Environmental-Terrestrial-Soil-Biochar	mixs:env_local	ENVO:00000446
GOLDTERMS:Environmental-Terrestrial-Soil-Biochar	mixs:env_medium	ENVO:2000007
GOLDTERMS:Environmental-Terrestrial-Soil-Biochar	mixs:mixs_extension	mixs:Soil
GOLDTERMS:Environmental-Terrestrial-Soil-Biochar	rdfs:comment	env_broad: environmental system; env_local: terrestrial biome; env_medium: biochar; mixs_extension: MIXS:Soil; partial
GOLDTERMS:Environmental-Terrestrial-Soil-Biochar	rdfs:label	Environmental > Terrestrial > Soil > Biochar
GOLDTERMS:4745	mixs:env_broad	ENVO:01000254
GOLDTERMS:4745	mixs:env_local	ENVO:00000446
GOLDTERMS:4745	mixs:env_medium	ENVO:00001998
GOLDTERMS:4745	mixs:mixs_extension	mixs:Soil
GOLDTERMS:4745	mixs:other	ENVO:00000133
GOLDTERMS:4745	rdfs:comment	env_broad: environmental system; env_local: terrestrial biome; env_medium: soil; mixs_extension: MIXS:Soil; other: glacier; partial
GOLDTERMS:4745	rdfs:label	Environmental > Terrestrial > Soil > Glacier
GOLDTERMS:4227	mixs:env_broad	ENVO:01000254
GOLDTERMS:4227	mixs:env_local	ENVO:00000446
GOLDTERMS:4227	mixs:env_medium	ENVO:01000016
GOLDTERMS:4227	mixs:mixs_extension	mixs:Soil
GOLDTERMS:4227	rdfs:comment	env_broad: environmental system; env_local: terrestrial biome; env_medium: silt; mixs_extension: MIXS:Soil; partial
GOLDTERMS:4227	rdfs:label	Environmental > Terrestrial > Soil > Silt
GOLDTERMS:4227	skos:exactMatch	ENVO:01000016
GOLDTERMS:4238	mixs:env_broad	ENVO:01000254
